Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-05,6.44,6.44,5.99,6.0,2689,-0.44,0.45,-7.33,7.5,0.23,4.37,4.88,0.3,0.34,-0.04,229726,21.67,51.67,21.67,1.0,30.0,Weak Buy Signal,7.94,4.37,0.79,1.64,57.88,Target Volume,Expected Range,25.02,Strong Trend
2023-07-03,6.3,6.53,5.7,6.5,31448,0.2,0.83,3.08,12.77,0.42,4.3,4.84,0.33,0.35,-0.02,232415,21.67,53.33,23.33,1.0,30.0,Weak Buy Signal,7.89,4.3,0.72,1.67,60.89,Trending Low,Bearish Trend,25.08,Strong Trend
2023-06-30,5.81,6.5,5.6,6.4,37935,0.59,0.9,9.22,14.06,0.45,4.24,4.78,0.3,0.35,-0.05,200967,21.45,55.0,25.0,1.0,30.0,Weak Buy Signal,7.81,4.24,0.67,1.68,60.49,Trending Low,Bearish Trend,25.14,Strong Trend
2023-06-29,6.3,6.59,5.99,6.0,29229,-0.3,0.6,-5.0,10.01,0.3,4.17,4.73,0.28,0.37,-0.09,163032,25.98,56.67,26.67,1.0,30.0,Weak Buy Signal,7.73,4.17,0.62,1.7,58.81,Target Volume,Expected Range,25.2,Strong Trend
2023-06-28,5.95,6.3,5.95,6.3,7572,0.35,0.35,5.53,5.53,0.17,4.12,4.68,0.28,0.39,-0.11,192261,23.9,58.33,28.33,1.0,30.0,Weak Buy Signal,7.66,4.12,0.57,1.72,60.71,Trending Low,Bearish Trend,25.19,Strong Trend
2023-06-27,5.52,6.08,5.35,6.08,38456,0.56,0.73,9.21,12.01,0.37,4.06,4.63,0.26,0.41,-0.16,184689,22.27,60.0,30.0,1.0,30.0,Weak Buy Signal,7.57,4.06,0.54,1.73,59.77,Target Volume,Expected Range,25.21,Strong Trend
2023-06-26,5.19,5.38,5.19,5.3,12578,0.11,0.19,2.08,3.68,0.1,4.0,4.58,0.24,0.45,-0.22,146233,16.74,61.67,31.67,1.0,30.0,Weak Buy Signal,7.49,4.0,0.51,1.75,56.13,Target Volume,Expected Range,25.26,Strong Trend
2023-06-23,5.3,5.3,5.3,5.3,5249,0.0,0.0,0.0,0.09,0.0,3.96,4.55,0.29,0.51,-0.22,146233,18.04,63.33,33.33,1.0,30.0,Weak Buy Signal,7.45,3.96,0.47,1.76,56.13,Target Volume,Expected Range,25.4,Strong Trend
2023-06-22,5.59,5.68,4.8,5.3,68910,-0.29,0.88,-5.47,16.63,0.44,3.91,4.53,0.36,0.56,-0.2,146233,18.04,65.0,35.0,1.0,30.0,Weak Buy Signal,7.4,3.91,0.43,1.78,56.13,Target Volume,Expected Range,25.53,Strong Trend
2023-06-21,5.64,5.7,5.5,5.59,4964,-0.05,0.2,-0.91,3.58,0.1,3.87,4.5,0.44,0.61,-0.18,215143,26.79,66.67,36.67,1.0,30.0,Weak Buy Signal,7.35,3.87,0.38,1.8,57.98,Target Volume,Expected Range,25.66,Strong Trend
2023-06-20,6.0,6.03,5.54,5.74,127613,-0.26,0.49,-4.53,8.56,0.25,3.81,4.47,0.5,0.66,-0.16,220107,27.3,68.33,38.33,1.0,30.0,Weak Buy Signal,7.29,3.81,0.34,1.82,58.98,Target Volume,Expected Range,25.64,Strong Trend
2023-06-16,6.0,6.08,6.0,6.07,9073,0.07,0.08,1.15,1.32,0.04,3.76,4.42,0.56,0.7,-0.14,347720,33.63,70.0,40.0,1.0,30.0,Weak Buy Signal,7.21,3.76,0.31,1.84,61.25,Trending Low,Bearish Trend,25.61,Strong Trend
2023-06-15,6.05,6.05,6.0,6.0,8881,-0.05,0.05,-0.83,0.83,0.02,3.7,4.37,0.59,0.73,-0.14,338647,33.42,71.67,41.67,1.0,30.0,Weak Buy Signal,7.12,3.7,0.29,1.84,60.93,Trending Low,Bearish Trend,25.47,Strong Trend
2023-06-14,6.0,6.08,6.0,6.0,26879,0.0,0.08,0.0,1.3,0.04,3.64,4.31,0.64,0.77,-0.13,338647,33.42,73.33,43.33,1.0,30.0,Weak Buy Signal,7.02,3.64,0.27,1.85,60.93,Trending Low,Bearish Trend,25.34,Strong Trend
2023-06-13,6.0,6.07,6.0,6.0,20401,0.0,0.07,0.0,1.22,0.04,3.59,4.25,0.68,0.8,-0.12,338647,33.38,75.0,45.0,1.0,30.0,Weak Buy Signal,6.92,3.59,0.25,1.86,60.93,Trending Low,Bearish Trend,25.2,Strong Trend
2023-06-12,6.03,6.03,6.0,6.02,3940,-0.02,0.03,-0.25,0.5,0.02,3.53,4.19,0.73,0.83,-0.1,359048,33.09,76.67,46.67,1.0,30.0,Weak Buy Signal,6.81,3.53,0.25,1.86,61.03,Trending Low,Bearish Trend,25.06,Strong Trend
2023-06-09,5.9,6.08,5.31,6.0,33097,0.1,0.77,1.67,12.83,0.38,3.47,4.13,0.77,0.85,-0.08,355108,33.09,78.33,48.33,1.0,30.0,Weak Buy Signal,6.69,3.47,0.25,1.86,60.97,Trending Low,Bearish Trend,24.93,Absent or Weak Trend
2023-06-08,6.09,6.11,5.99,6.09,12294,0.0,0.12,0.0,2.01,0.06,3.42,4.07,0.82,0.87,-0.05,388205,42.58,80.0,50.0,1.0,30.0,Weak Buy Signal,6.58,3.42,0.25,1.85,61.56,Trending Low,Bearish Trend,24.79,Absent or Weak Trend
2023-06-07,6.27,6.37,6.06,6.17,7966,-0.1,0.31,-1.62,5.02,0.16,3.36,4.0,0.87,0.89,-0.02,400499,43.65,81.67,51.67,1.0,30.0,Weak Buy Signal,6.45,3.36,0.27,1.84,62.09,Trending Low,Bearish Trend,24.49,Absent or Weak Trend
2023-06-06,6.05,6.25,6.01,6.25,40544,0.2,0.24,3.2,3.84,0.12,3.3,3.93,0.9,0.89,0.01,408465,42.95,83.33,53.33,1.0,30.0,Weak Buy Signal,6.31,3.3,0.3,1.82,62.61,Trending Low,Bearish Trend,24.16,Absent or Weak Trend
2023-06-05,6.02,6.2,6.02,6.02,7926,0.0,0.18,0.0,2.99,0.09,3.24,3.85,0.92,0.89,0.04,367921,42.66,85.0,55.0,1.0,30.0,Weak Buy Signal,6.15,3.24,0.33,1.8,61.7,Trending Low,Bearish Trend,23.84,Absent or Weak Trend
2023-06-02,6.2,6.23,6.0,6.23,11258,0.03,0.23,0.48,3.69,0.12,3.19,3.78,0.96,0.88,0.08,375847,42.66,86.67,56.67,1.0,30.0,Weak Buy Signal,6.01,3.19,0.37,1.77,63.08,Trending Low,Bearish Trend,23.52,Absent or Weak Trend
2023-06-01,6.01,6.15,5.99,6.14,5175,0.13,0.16,2.12,2.61,0.08,3.13,3.69,0.98,0.86,0.12,364589,42.2,88.33,58.33,1.0,30.0,Weak Buy Signal,5.84,3.13,0.43,1.73,62.73,Trending Low,Bearish Trend,23.2,Absent or Weak Trend
2023-05-31,6.0,6.03,5.85,6.01,36599,0.01,0.18,0.17,3.0,0.09,3.08,3.61,0.99,0.83,0.16,359414,41.51,90.0,60.0,1.0,30.0,Weak Buy Signal,5.67,3.08,0.49,1.68,62.22,Trending Low,Bearish Trend,22.88,Absent or Weak Trend
2023-05-30,6.22,6.22,6.0,6.03,74613,-0.19,0.22,-3.15,3.65,0.11,3.03,3.53,1.01,0.79,0.22,396013,43.62,91.67,61.67,1.0,30.0,Weak Buy Signal,5.51,3.03,0.55,1.63,62.35,Trending Low,Bearish Trend,22.56,Absent or Weak Trend
2023-05-26,6.14,6.24,6.11,6.23,7939,0.09,0.13,1.44,2.12,0.07,2.98,3.44,1.01,0.73,0.27,470626,45.15,93.33,63.33,1.0,30.0,Weak Buy Signal,5.33,2.98,0.63,1.58,63.66,Trending Low,Bearish Trend,22.2,Absent or Weak Trend
2023-05-25,6.0,6.22,6.0,6.0,50418,0.0,0.22,0.08,3.66,0.11,2.92,3.35,0.98,0.67,0.31,462687,45.04,95.0,65.0,1.0,30.0,Weak Buy Signal,5.12,2.92,0.73,1.5,62.79,Trending Low,Bearish Trend,21.82,Absent or Weak Trend
2023-05-24,6.0,6.05,6.0,6.0,67414,0.0,0.05,0.0,0.83,0.02,2.87,3.26,0.95,0.59,0.36,412269,44.14,96.67,66.67,1.0,30.0,Weak Buy Signal,4.91,2.87,0.83,1.42,62.77,Trending Low,Bearish Trend,21.42,Absent or Weak Trend
2023-05-23,6.0,6.54,6.0,6.01,92069,0.01,0.54,0.17,8.99,0.27,2.82,3.17,0.89,0.5,0.4,479683,44.14,98.33,68.33,1.0,30.0,Weak Buy Signal,4.69,2.82,0.95,1.33,62.84,Trending Low,Bearish Trend,21.04,Absent or Weak Trend
2023-05-22,6.65,7.44,6.0,6.17,150246,-0.48,1.44,-7.78,23.34,0.72,2.77,3.07,0.81,0.4,0.41,571752,44.14,100.0,70.0,1.0,30.0,Weak Buy Signal,4.44,2.77,1.09,1.21,63.87,Trending Low,Bearish Trend,20.64,Absent or Weak Trend
2023-05-19,5.4,6.5,5.4,6.01,175174,0.61,1.1,10.15,18.3,0.55,2.71,2.96,0.68,0.3,0.38,421506,38.82,100.0,71.67,1.0,28.33,Weak Buy Signal,4.14,2.71,1.29,1.05,63.27,Trending Low,Bearish Trend,20.25,Absent or Weak Trend
2023-05-18,4.83,5.35,4.61,5.35,97181,0.52,0.74,9.72,13.83,0.37,2.66,2.86,0.52,0.2,0.32,246332,30.91,100.0,73.33,1.0,26.67,Weak Buy Signal,3.8,2.66,1.52,0.86,60.66,Trending Low,Bearish Trend,19.93,Absent or Weak Trend
2023-05-17,4.66,4.66,4.04,4.6,70726,-0.06,0.62,-1.3,13.48,0.31,2.62,2.78,0.37,0.12,0.25,149151,25.21,95.0,75.0,1.0,20.0,Weak Buy Signal,3.53,2.62,1.72,0.69,57.27,Target Volume,Expected Range,19.75,Absent or Weak Trend
2023-05-16,3.58,4.41,3.58,4.1,110242,0.52,0.83,12.68,20.24,0.42,2.6,2.71,0.25,0.06,0.19,78425,22.94,96.67,76.67,1.0,20.0,Weak Buy Signal,3.34,2.6,1.85,0.58,54.71,Target Volume,Expected Range,19.65,Absent or Weak Trend
2023-05-15,3.2,3.73,3.2,3.41,108214,0.21,0.53,6.16,15.54,0.26,2.58,2.67,0.15,0.01,0.14,-31817,16.14,98.33,78.33,1.0,20.0,Weak Buy Signal,3.22,2.58,1.93,0.5,50.7,Target Volume,Expected Range,19.6,Absent or Weak Trend
2023-05-12,2.94,4.7,2.7,3.21,452265,0.27,2.0,8.41,62.31,1.0,2.57,2.64,0.09,-0.03,0.11,-140031,16.14,100.0,80.0,1.0,20.0,Weak Buy Signal,3.19,2.57,1.95,0.48,49.42,Target Volume,Expected Range,19.66,Absent or Weak Trend
2023-05-11,2.5,3.2,2.5,3.0,556550,0.5,0.7,16.67,23.33,0.35,2.57,2.62,0.03,-0.05,0.08,-592296,3.29,100.0,81.67,1.0,18.33,High Volatility / Hold Signal,3.17,2.57,1.96,0.47,48.04,Target Volume,Expected Range,19.72,Absent or Weak Trend
2023-05-10,2.46,2.55,2.35,2.49,13224,0.03,0.2,1.2,8.03,0.1,2.57,2.61,-0.03,-0.07,0.04,-1148846,14.61,15.0,83.33,-1.0,-68.33,Weak Sell Signal,3.18,2.57,1.96,0.48,44.39,Target Volume,Expected Range,19.99,Absent or Weak Trend
2023-05-09,2.4,2.4,2.13,2.28,8331,-0.12,0.27,-5.26,12.0,0.14,2.58,2.61,-0.05,-0.08,0.03,-1162070,17.53,16.67,85.0,-1.0,-68.33,Weak Sell Signal,3.19,2.58,1.96,0.48,42.76,Target Volume,Expected Range,20.09,Absent or Weak Trend
2023-05-08,2.29,2.51,2.26,2.32,145897,0.03,0.25,1.36,10.77,0.12,2.58,2.63,-0.05,-0.09,0.04,-1153739,15.64,18.33,86.67,-1.0,-68.33,Weak Sell Signal,3.2,2.58,1.97,0.47,43.01,Target Volume,Expected Range,20.13,Absent or Weak Trend
2023-05-05,2.21,2.55,2.21,2.21,117301,0.0,0.34,0.0,15.38,0.17,2.59,2.64,-0.06,-0.1,0.04,-1299636,15.64,20.0,88.33,-1.0,-68.33,Weak Sell Signal,3.2,2.59,1.98,0.47,42.13,Target Volume,Expected Range,20.2,Absent or Weak Trend
2023-05-04,2.37,2.45,2.35,2.36,6646,-0.01,0.09,-0.42,3.99,0.05,2.6,2.65,-0.06,-0.11,0.05,-1182335,13.61,21.67,90.0,-1.0,-68.33,Weak Sell Signal,3.22,2.6,1.99,0.47,43.0,Target Volume,Expected Range,20.28,Absent or Weak Trend
2023-05-03,2.5,2.52,2.21,2.48,104991,-0.02,0.31,-0.81,12.32,0.15,2.61,2.66,-0.07,-0.12,0.05,-1175689,13.61,23.33,91.67,-1.0,-68.33,Weak Sell Signal,3.23,2.61,2.0,0.47,43.72,Target Volume,Expected Range,20.4,Absent or Weak Trend
2023-05-02,2.49,2.5,2.3,2.4,126561,-0.1,0.2,-3.97,8.35,0.1,2.62,2.67,-0.1,-0.14,0.04,-1280680,12.38,25.0,93.33,-1.0,-68.33,Weak Sell Signal,3.24,2.62,2.0,0.47,43.06,Target Volume,Expected Range,20.51,Absent or Weak Trend
2023-05-01,2.3,2.52,2.2,2.4,50030,0.1,0.32,4.17,13.33,0.16,2.63,2.68,-0.12,-0.15,0.02,-1154119,12.38,26.67,95.0,-1.0,-68.33,Weak Sell Signal,3.26,2.63,2.0,0.48,43.09,Target Volume,Expected Range,20.65,Absent or Weak Trend
2023-04-28,2.1,2.27,2.08,2.27,19853,0.17,0.19,7.49,8.37,0.09,2.64,2.69,-0.15,-0.15,0.0,-1204149,17.08,28.33,96.67,-1.0,-68.33,Weak Sell Signal,3.28,2.64,2.01,0.48,42.09,Target Volume,Expected Range,20.79,Absent or Weak Trend
