Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-07,68.27,68.27,67.27,67.28,41203,-0.99,1.0,-1.47,1.49,0.5,-1
2023-07-06,67.81,68.11,67.2,68.05,25696,0.24,0.91,0.35,1.34,0.45,-1
2023-07-05,67.54,68.24,67.54,68.08,40160,0.54,0.7,0.79,1.03,0.35,1
2023-07-03,68.07,68.53,67.96,68.04,22232,-0.03,0.57,-0.04,0.84,0.29,-1
2023-06-30,67.44,68.42,67.44,68.07,64351,0.63,0.98,0.93,1.44,0.49,1
2023-06-29,67.24,67.67,66.78,67.65,42091,0.41,0.89,0.61,1.32,0.45,1
2023-06-28,66.75,67.63,66.7,67.03,42471,0.28,0.93,0.42,1.39,0.46,-1
2023-06-27,67.06,67.48,66.63,67.37,43289,0.31,0.85,0.46,1.26,0.43,1
2023-06-26,66.17,66.82,65.94,66.72,64500,0.55,0.88,0.82,1.32,0.44,1
2023-06-23,66.78,67.58,66.19,66.46,648701,-0.32,1.39,-0.48,2.09,0.7,-1
2023-06-22,67.68,67.84,67.08,67.32,82118,-0.36,0.77,-0.53,1.14,0.38,-1
2023-06-21,66.25,68.06,65.84,67.85,295331,1.6,2.22,2.36,3.26,1.11,1
2023-06-20,66.49,66.77,65.83,66.47,277890,-0.02,0.94,-0.03,1.41,0.47,-1
2023-06-16,68.02,68.1,66.59,66.91,351009,-1.11,1.51,-1.66,2.26,0.75,-1
2023-06-15,66.09,67.69,66.09,67.54,293956,1.45,1.6,2.15,2.37,0.8,1
2023-06-14,67.15,68.02,66.8,67.14,290122,-0.01,1.22,-0.01,1.82,0.61,1
2023-06-13,65.35,67.07,65.32,67.0,84973,1.65,1.75,2.46,2.61,0.88,1
2023-06-12,66.21,66.21,65.16,65.16,93627,-1.05,1.05,-1.61,1.61,0.52,-1
2023-06-09,66.82,66.95,65.78,65.85,70216,-0.97,1.17,-1.47,1.78,0.59,-1
2023-06-08,66.5,67.08,66.43,67.01,68693,0.51,0.65,0.76,0.97,0.32,1
2023-06-07,63.87,66.43,63.87,66.3,90770,2.43,2.56,3.67,3.86,1.28,1
2023-06-06,64.25,64.31,63.45,63.72,53832,-0.53,0.86,-0.83,1.35,0.43,-1
2023-06-05,65.17,65.17,64.35,64.39,58000,-0.78,0.82,-1.21,1.27,0.41,-1
2023-06-02,63.65,65.36,63.46,65.07,58556,1.42,1.9,2.18,2.92,0.95,1
2023-06-01,63.53,63.53,62.83,63.17,38954,-0.36,0.7,-0.57,1.11,0.35,1
2023-05-31,62.45,63.08,62.22,62.85,30062,0.4,0.86,0.64,1.37,0.43,1
2023-05-30,62.8,62.8,61.96,62.67,32566,-0.13,0.84,-0.21,1.35,0.42,-1
2023-05-26,62.33,62.8,61.88,62.68,30316,0.35,0.91,0.56,1.46,0.46,1
2023-05-25,62.28,62.58,61.89,62.35,50621,0.07,0.69,0.11,1.11,0.34,-1
2023-05-24,64.21,64.21,62.78,62.99,25799,-1.22,1.43,-1.94,2.28,0.72,-1
2023-05-23,64.65,65.06,64.01,64.07,30234,-0.58,1.05,-0.91,1.63,0.52,-1
2023-05-22,64.36,65.25,64.32,65.24,28095,0.88,0.93,1.35,1.42,0.46,1
2023-05-19,64.46,64.55,64.3,64.53,27082,0.07,0.25,0.11,0.39,0.12,1
2023-05-18,64.25,64.25,63.6,64.1,10831,-0.15,0.66,-0.23,1.02,0.33,-1
2023-05-17,63.97,64.23,63.35,64.18,14605,0.21,0.88,0.33,1.37,0.44,1
2023-05-16,64.84,64.86,63.67,63.68,14387,-1.16,1.19,-1.82,1.88,0.6,-1
2023-05-15,64.97,65.22,64.71,65.22,27390,0.25,0.51,0.38,0.78,0.26,1
2023-05-12,64.73,64.9,64.46,64.89,25312,0.16,0.44,0.25,0.68,0.22,-1
2023-05-11,64.8,64.93,64.57,64.93,10206,0.13,0.36,0.2,0.55,0.18,1
2023-05-10,64.92,64.92,64.14,64.81,22779,-0.11,0.78,-0.17,1.2,0.39,1
2023-05-09,65.2,65.25,64.44,64.54,51349,-0.66,0.81,-1.02,1.26,0.41,-1
2023-05-08,65.32,65.65,65.32,65.41,15376,0.09,0.33,0.14,0.5,0.17,-1
2023-05-05,65.46,65.58,65.12,65.58,17817,0.12,0.46,0.18,0.7,0.23,1
2023-05-04,65.04,65.41,64.99,65.19,12244,0.15,0.42,0.23,0.64,0.21,1
2023-05-03,65.36,66.11,65.14,65.16,29418,-0.2,0.97,-0.31,1.48,0.48,-1
2023-05-02,65.73,65.82,65.06,65.66,24213,-0.07,0.76,-0.11,1.16,0.38,-1
2023-05-01,66.18,66.39,66.01,66.22,20433,0.04,0.38,0.06,0.57,0.19,1
2023-04-28,65.86,65.94,64.79,65.88,24920,0.02,1.15,0.03,1.75,0.57,-1
2023-04-27,64.76,66.09,64.43,66.08,18389,1.32,1.66,2.0,2.52,0.83,1
2023-04-26,64.59,64.93,64.56,64.88,16902,0.29,0.37,0.45,0.57,0.19,1
2023-04-25,64.45,64.94,64.45,64.71,20715,0.26,0.49,0.4,0.76,0.24,1
2023-04-24,64.56,65.19,64.36,64.52,15228,-0.04,0.83,-0.06,1.29,0.42,-1
2023-04-21,65.52,65.98,64.82,64.85,39070,-0.67,1.16,-1.03,1.79,0.58,-1
2023-04-20,65.03,65.43,64.9,65.13,36250,0.1,0.53,0.15,0.81,0.27,1
2023-04-19,64.68,65.05,64.53,65.02,30452,0.34,0.52,0.52,0.8,0.26,1
2023-04-18,64.35,64.61,63.95,64.61,16087,0.26,0.66,0.4,1.02,0.33,1
2023-04-17,63.83,64.62,63.75,64.58,17848,0.75,0.87,1.16,1.35,0.44,1
2023-04-14,64.0,64.0,63.27,63.83,37520,-0.17,0.73,-0.27,1.14,0.36,-1
2023-04-13,63.4,64.15,63.28,64.01,40030,0.61,0.88,0.95,1.37,0.44,1
2023-04-12,64.09,64.31,63.42,63.51,23125,-0.58,0.89,-0.91,1.4,0.45,-1
2023-04-11,63.61,64.3,63.58,64.21,18220,0.6,0.72,0.93,1.13,0.36,1
2023-04-10,63.22,63.69,63.06,63.69,23336,0.47,0.63,0.74,0.99,0.31,-1
2023-04-06,63.79,64.16,63.49,63.69,26096,-0.1,0.67,-0.16,1.05,0.33,-1
2023-04-05,64.31,64.39,63.88,63.93,26790,-0.38,0.51,-0.59,0.8,0.25,-1
2023-04-04,65.0,65.01,63.91,64.01,49689,-0.99,1.1,-1.55,1.72,0.55,-1
2023-04-03,65.08,65.08,64.48,64.89,23311,-0.19,0.6,-0.29,0.92,0.3,-1
2023-03-31,64.99,65.19,64.77,65.19,24438,0.2,0.42,0.31,0.65,0.21,1
2023-03-30,64.61,64.88,64.21,64.57,16585,-0.04,0.67,-0.06,1.04,0.34,-1
2023-03-29,63.87,64.81,63.87,64.76,48781,0.89,0.94,1.37,1.45,0.47,1
2023-03-28,63.61,64.12,63.59,63.7,32593,0.09,0.53,0.14,0.84,0.27,-1
2023-03-27,64.13,64.2,63.57,63.72,29267,-0.41,0.63,-0.64,0.99,0.32,-1
2023-03-24,62.03,63.74,62.03,63.74,36753,1.71,1.71,2.68,2.68,0.86,1
2023-03-23,63.56,63.56,62.2,62.53,31118,-1.03,1.36,-1.65,2.17,0.68,-1
2023-03-22,63.02,63.96,63.02,63.24,29444,0.22,0.94,0.35,1.49,0.47,1
2023-03-21,63.18,63.18,62.44,63.01,26021,-0.17,0.74,-0.27,1.17,0.37,1
2023-03-20,62.54,62.88,62.24,62.88,33273,0.34,0.64,0.54,1.02,0.32,1
2023-03-17,62.7,62.7,61.77,62.11,66015,-0.59,0.93,-0.95,1.5,0.46,-1
2023-03-16,62.02,62.86,62.02,62.51,48885,0.49,0.84,0.78,1.35,0.42,1
2023-03-15,61.59,62.29,61.47,61.87,30856,0.28,0.82,0.45,1.33,0.41,-1
2023-03-14,63.05,63.05,61.64,62.35,19259,-0.7,1.41,-1.12,2.26,0.7,-1
2023-03-13,61.66,63.14,61.66,62.47,29520,0.81,1.49,1.3,2.38,0.74,1
2023-03-10,62.66,62.66,61.76,61.79,48162,-0.87,0.9,-1.41,1.46,0.45,-1
2023-03-09,63.69,64.4,62.3,62.3,28494,-1.39,2.09,-2.23,3.36,1.05,-1
2023-03-08,64.38,65.28,62.17,63.65,49333,-0.73,3.11,-1.15,4.89,1.55,-1
2023-03-07,67.29,67.29,66.05,66.42,22871,-0.87,1.24,-1.31,1.87,0.62,-1
2023-03-06,67.23,67.78,66.94,67.31,21798,0.08,0.84,0.12,1.24,0.42,1
2023-03-03,65.9,67.23,65.9,66.97,19815,1.07,1.33,1.6,1.99,0.66,1
2023-03-02,64.0,65.72,64.0,65.72,34238,1.72,1.72,2.62,2.62,0.86,1
2023-03-01,64.98,64.98,63.87,64.27,25536,-0.71,1.11,-1.1,1.73,0.56,-1
2023-02-28,65.63,65.78,64.86,64.92,36942,-0.71,0.92,-1.09,1.42,0.46,-1
2023-02-27,65.8,65.81,65.21,65.37,17932,-0.43,0.6,-0.66,0.92,0.3,1
2023-02-24,65.05,65.34,64.28,65.34,22500,0.29,1.06,0.44,1.62,0.53,1
2023-02-23,65.28,65.45,64.82,65.28,10139,0.0,0.63,0.0,0.97,0.32,1
2023-02-22,64.87,65.7,64.87,65.01,32828,0.14,0.83,0.22,1.28,0.41,1
2023-02-21,65.47,65.47,64.83,64.92,25345,-0.55,0.64,-0.85,0.99,0.32,-1
2023-02-17,65.45,65.64,65.24,65.62,19330,0.17,0.41,0.26,0.62,0.2,1
2023-02-16,65.0,65.71,64.76,65.4,42556,0.4,0.94,0.61,1.44,0.47,-1
2023-02-15,65.17,65.46,64.75,65.46,20679,0.29,0.71,0.44,1.08,0.35,1
2023-02-14,65.79,65.79,64.84,65.41,22495,-0.38,0.95,-0.58,1.45,0.48,-1
2023-02-13,64.93,65.83,64.76,65.77,26202,0.84,1.07,1.28,1.63,0.53,1
2023-02-10,64.71,65.28,64.16,64.87,28560,0.16,1.12,0.25,1.73,0.56,1
2023-02-09,65.22,65.55,64.24,64.45,15819,-0.77,1.31,-1.19,2.03,0.65,-1
2023-02-08,65.5,65.54,64.85,64.85,18492,-0.65,0.69,-1.0,1.06,0.35,-1
2023-02-07,66.61,66.61,65.04,65.78,23466,-0.83,1.57,-1.26,2.39,0.78,-1
2023-02-06,66.53,66.94,66.22,66.66,26168,0.13,0.72,0.2,1.08,0.36,-1
2023-02-03,66.98,67.08,65.63,67.05,19939,0.07,1.45,0.1,2.16,0.73,1
2023-02-02,67.09,67.82,66.43,66.78,80197,-0.31,1.39,-0.46,2.08,0.69,-1
2023-02-01,66.45,67.56,66.39,67.09,39365,0.64,1.17,0.95,1.74,0.59,1
2023-01-31,65.96,66.52,65.84,66.5,61306,0.54,0.68,0.81,1.02,0.34,1
2023-01-30,65.92,66.62,65.56,65.67,24259,-0.25,1.06,-0.38,1.61,0.53,-1
2023-01-27,66.38,66.73,66.09,66.41,18602,0.03,0.64,0.05,0.96,0.32,-1
2023-01-26,67.96,67.96,66.52,66.69,39970,-1.27,1.44,-1.9,2.16,0.72,-1
2023-01-25,66.32,68.01,66.22,68.01,22531,1.69,1.79,2.48,2.62,0.89,1
2023-01-24,65.99,66.93,65.2,66.93,22400,0.94,1.73,1.4,2.58,0.87,1
2023-01-23,66.0,66.74,65.88,66.49,33643,0.49,0.86,0.74,1.29,0.43,1
2023-01-20,66.04,66.08,64.82,66.08,48453,0.04,1.26,0.06,1.9,0.63,1
2023-01-19,66.07,66.59,65.66,65.66,19893,-0.41,0.93,-0.62,1.42,0.47,-1
2023-01-18,67.91,68.15,66.48,66.63,34961,-1.28,1.67,-1.92,2.5,0.83,-1
2023-01-17,67.01,68.72,67.01,68.04,42162,1.03,1.71,1.51,2.51,0.85,1
2023-01-13,64.97,67.25,64.97,67.25,26887,2.28,2.28,3.39,3.39,1.14,1
2023-01-12,66.05,66.05,65.14,65.55,34267,-0.5,0.91,-0.76,1.39,0.45,-1
2023-01-11,65.05,66.14,65.05,65.89,34885,0.84,1.09,1.27,1.65,0.55,1
2023-01-10,64.36,65.0,64.36,64.92,28751,0.56,0.64,0.86,0.99,0.32,1
2023-01-09,64.14,65.98,64.14,64.47,32388,0.33,1.84,0.51,2.86,0.92,1
2023-01-06,63.98,64.61,63.98,64.28,20355,0.3,0.63,0.47,0.98,0.32,1
2023-01-05,65.02,65.06,63.5,63.54,30313,-1.48,1.56,-2.33,2.46,0.78,-1
2023-01-04,64.98,65.77,64.97,65.56,40032,0.58,0.8,0.88,1.22,0.4,1
2023-01-03,65.61,66.17,64.22,65.11,62180,-0.5,1.95,-0.77,2.99,0.97,-1
2022-12-30,65.89,65.89,65.04,65.76,26612,-0.13,0.85,-0.2,1.29,0.42,-1
2022-12-29,66.04,66.31,65.65,66.04,17110,0.0,0.66,0.0,1.0,0.33,1
2022-12-28,66.68,66.68,65.34,65.35,28132,-1.33,1.34,-2.04,2.05,0.67,-1
2022-12-27,66.12,66.51,66.11,66.42,33545,0.3,0.4,0.45,0.61,0.2,1
2022-12-23,66.65,66.66,66.04,66.3,36986,-0.35,0.62,-0.53,0.94,0.31,-1
2022-12-22,66.25,66.52,65.62,66.52,13417,0.27,0.9,0.41,1.35,0.45,-1
2022-12-21,65.36,66.65,65.2,66.61,61608,1.25,1.45,1.88,2.18,0.73,1
2022-12-20,65.6,65.6,64.95,65.28,42768,-0.32,0.65,-0.49,1.0,0.32,-1
2022-12-19,66.29,66.29,65.27,65.55,42307,-0.74,1.02,-1.13,1.56,0.51,-1
2022-12-16,66.51,66.51,65.52,65.94,69281,-0.57,0.99,-0.86,1.5,0.5,-1
2022-12-15,68.02,68.02,66.76,66.9,41096,-1.12,1.26,-1.67,1.88,0.63,-1
2022-12-14,69.0,69.12,68.4,68.84,32623,-0.16,0.72,-0.23,1.05,0.36,-1
2022-12-13,69.38,69.74,68.26,69.05,70368,-0.33,1.48,-0.48,2.14,0.74,1
2022-12-12,68.15,68.65,67.21,68.58,24875,0.43,1.44,0.63,2.1,0.72,1
2022-12-09,67.56,68.18,67.5,67.62,31967,0.06,0.68,0.09,1.01,0.34,-1
2022-12-08,67.66,68.45,66.95,67.88,37266,0.22,1.5,0.32,2.21,0.75,-1
2022-12-07,70.86,70.96,67.35,68.0,42281,-2.86,3.61,-4.21,5.31,1.8,-1
2022-12-06,73.33,73.73,72.71,73.27,28012,-0.06,1.02,-0.08,1.39,0.51,-1
2022-12-05,74.37,74.37,73.26,73.66,38947,-0.71,1.11,-0.96,1.51,0.55,-1
2022-12-02,73.47,74.42,73.47,74.26,23792,0.79,0.95,1.06,1.28,0.48,1
2022-12-01,72.78,74.02,72.78,73.95,48227,1.17,1.24,1.58,1.68,0.62,1
2022-11-30,71.02,72.99,70.84,72.99,25531,1.97,2.15,2.7,2.95,1.07,1
2022-11-29,71.55,71.67,71.09,71.09,20609,-0.46,0.58,-0.65,0.82,0.29,-1
2022-11-28,71.83,72.55,71.77,71.82,17448,-0.01,0.78,-0.01,1.09,0.39,-1
2022-11-25,72.35,72.66,72.33,72.59,10164,0.24,0.33,0.33,0.45,0.16,-1
2022-11-23,72.7,72.98,71.99,72.62,71550,-0.08,1.0,-0.11,1.37,0.5,1
2022-11-22,71.68,72.65,71.63,72.44,68685,0.76,1.02,1.05,1.41,0.51,1
2022-11-21,70.7,71.25,70.7,71.15,30883,0.45,0.55,0.63,0.77,0.27,1
2022-11-18,70.52,70.72,70.02,70.58,36982,0.06,0.7,0.09,1.0,0.35,1
2022-11-17,69.4,69.52,68.78,69.41,25523,0.01,0.74,0.01,1.07,0.37,-1
2022-11-16,70.0,70.67,69.92,70.05,84480,0.05,0.75,0.07,1.07,0.38,1
2022-11-15,69.73,70.73,69.14,69.92,31052,0.19,1.59,0.27,2.28,0.8,1
2022-11-14,69.98,70.59,69.57,69.72,26541,-0.26,1.02,-0.37,1.46,0.51,-1
2022-11-11,70.93,70.93,69.56,70.32,29465,-0.61,1.38,-0.87,1.96,0.69,-1
2022-11-10,69.43,70.8,68.84,70.51,76585,1.08,1.96,1.53,2.78,0.98,1
2022-11-09,67.41,68.07,66.92,67.83,154166,0.42,1.15,0.62,1.7,0.57,1
2022-11-08,68.05,68.19,67.26,67.67,30909,-0.38,0.93,-0.56,1.37,0.46,-1
2022-11-07,68.32,68.32,67.32,67.72,35166,-0.6,1.0,-0.89,1.48,0.5,-1
2022-11-04,67.25,68.13,66.76,67.83,28156,0.58,1.37,0.86,2.02,0.68,1
2022-11-03,66.81,66.98,66.3,66.69,16516,-0.12,0.69,-0.18,1.03,0.34,-1
2022-11-02,67.71,68.89,67.06,67.16,29505,-0.55,1.83,-0.82,2.72,0.91,-1
2022-11-01,69.69,69.69,67.85,68.17,24380,-1.52,1.84,-2.23,2.7,0.92,-1
