Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-14,1.11,1.13,1.08,1.11,630069,0.0,0.05,0.0,4.5,0.02,1.08,1.13,-0.0,-0.01,0.0,147728871,4.15,48.33,11.67,1.0,36.67,Weak Buy Signal,1.24,1.08,0.91,0.3,45.86,Target Volume,Expected Range,5.08,Absent or Weak Trend
2023-07-13,1.12,1.13,1.09,1.13,1098395,0.01,0.04,0.88,3.54,0.02,1.08,1.14,-0.0,-0.01,0.0,148358940,3.85,50.0,13.33,1.0,36.67,Weak Buy Signal,1.24,1.08,0.91,0.31,46.1,Target Volume,Expected Range,5.09,Absent or Weak Trend
2023-07-12,1.15,1.15,1.08,1.12,1152892,-0.03,0.07,-2.68,6.25,0.03,1.08,1.14,-0.01,-0.01,0.0,147260545,3.85,51.67,15.0,1.0,36.67,Weak Buy Signal,1.24,1.08,0.91,0.31,45.96,Target Volume,Expected Range,5.11,Absent or Weak Trend
2023-07-11,1.09,1.14,1.08,1.12,1938485,0.03,0.06,2.68,5.8,0.03,1.08,1.14,-0.01,-0.01,-0.0,147260545,4.01,53.33,16.67,1.0,36.67,Weak Buy Signal,1.24,1.08,0.91,0.31,45.96,Target Volume,Expected Range,5.13,Absent or Weak Trend
2023-07-10,1.06,1.08,1.03,1.06,598446,0.0,0.05,0.0,4.72,0.03,1.08,1.14,-0.01,-0.01,-0.01,145322060,6.01,55.0,18.33,1.0,36.67,Weak Buy Signal,1.25,1.08,0.91,0.31,45.13,Target Volume,Expected Range,5.15,Absent or Weak Trend
2023-07-07,1.06,1.09,1.05,1.06,550148,0.0,0.04,0.0,3.77,0.02,1.08,1.14,-0.01,-0.01,-0.0,145322060,5.46,56.67,20.0,1.0,36.67,Weak Buy Signal,1.25,1.08,0.91,0.31,45.13,Target Volume,Expected Range,5.14,Absent or Weak Trend
2023-07-06,1.06,1.08,1.05,1.08,380592,0.02,0.03,1.85,2.78,0.02,1.08,1.14,-0.01,-0.0,-0.0,145872208,5.76,58.33,21.67,1.0,36.67,Weak Buy Signal,1.25,1.08,0.92,0.31,45.35,Target Volume,Expected Range,5.13,Absent or Weak Trend
2023-07-05,1.08,1.11,1.08,1.08,374307,0.0,0.03,0.0,2.78,0.02,1.08,1.14,-0.01,-0.0,-0.0,145872208,4.95,60.0,23.33,1.0,36.67,Weak Buy Signal,1.25,1.08,0.92,0.31,45.35,Target Volume,Expected Range,5.12,Absent or Weak Trend
2023-07-03,1.1,1.13,1.09,1.09,346446,-0.01,0.04,-0.92,3.67,0.02,1.08,1.15,-0.01,-0.0,-0.0,146246515,4.68,61.67,25.0,1.0,36.67,Weak Buy Signal,1.25,1.08,0.92,0.31,45.46,Target Volume,Expected Range,5.13,Absent or Weak Trend
2023-06-30,1.11,1.11,1.07,1.09,634994,-0.02,0.04,-1.83,3.67,0.02,1.08,1.15,-0.01,-0.0,-0.01,146246515,5.27,63.33,26.67,1.0,36.67,Weak Buy Signal,1.25,1.08,0.92,0.31,45.46,Target Volume,Expected Range,5.13,Absent or Weak Trend
