Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-04,20.13,20.93,20.06,20.57,416865,0.44,0.88,2.14,4.25,0.44,1
2023-08-03,19.38,20.17,19.1,19.88,597919,0.5,1.07,2.52,5.38,0.54,1
2023-08-02,18.51,18.83,18.5,18.61,128451,0.1,0.33,0.54,1.77,0.16,-1
2023-08-01,18.96,18.96,18.56,18.8,131765,-0.16,0.4,-0.85,2.13,0.2,-1
2023-07-31,18.49,18.99,18.49,18.99,197897,0.5,0.5,2.63,2.63,0.25,1
2023-07-28,18.71,18.84,18.4,18.47,160206,-0.24,0.44,-1.3,2.38,0.22,-1
2023-07-27,18.8,18.82,18.36,18.47,166392,-0.33,0.46,-1.79,2.49,0.23,-1
2023-07-26,18.51,18.79,18.46,18.69,163101,0.18,0.33,0.96,1.77,0.16,1
2023-07-25,18.06,18.52,17.99,18.51,131903,0.45,0.53,2.43,2.86,0.27,1
2023-07-24,17.79,18.17,17.77,18.15,135399,0.36,0.4,1.98,2.18,0.2,1
2023-07-21,18.79,18.79,17.78,17.8,176613,-0.99,1.01,-5.56,5.67,0.5,-1
2023-07-20,19.04,19.08,18.66,18.71,202188,-0.33,0.42,-1.76,2.22,0.21,-1
2023-07-19,18.9,19.01,18.76,18.94,193980,0.04,0.25,0.21,1.32,0.12,1
2023-07-18,18.52,19.01,18.52,18.86,170287,0.34,0.49,1.8,2.6,0.25,1
2023-07-17,18.32,18.64,18.21,18.58,125119,0.26,0.43,1.4,2.31,0.21,1
2023-07-14,18.47,18.55,18.05,18.44,155992,-0.03,0.5,-0.16,2.73,0.25,-1
2023-07-13,18.58,18.78,18.34,18.63,272886,0.05,0.44,0.27,2.36,0.22,1
2023-07-12,18.96,18.96,18.49,18.5,184585,-0.46,0.47,-2.49,2.54,0.24,-1
2023-07-11,18.42,18.6,18.32,18.59,212355,0.17,0.28,0.91,1.51,0.14,1
2023-07-10,17.82,18.3,17.82,18.23,199383,0.41,0.48,2.25,2.63,0.24,1
2023-07-07,17.24,18.0,17.24,17.82,351030,0.58,0.76,3.25,4.26,0.38,1
2023-07-06,17.15,17.32,17.01,17.21,197805,0.06,0.31,0.35,1.8,0.15,-1
2023-07-05,17.5,17.55,17.2,17.47,238343,-0.03,0.34,-0.17,1.97,0.17,-1
2023-07-03,17.41,17.87,17.41,17.6,156130,0.19,0.46,1.08,2.63,0.23,1
2023-06-30,17.39,17.5,17.12,17.48,234882,0.09,0.38,0.51,2.17,0.19,1
2023-06-29,16.67,17.2,16.58,17.14,209655,0.47,0.62,2.74,3.65,0.31,1
2023-06-28,16.41,16.63,16.24,16.61,199675,0.2,0.39,1.2,2.35,0.2,1
2023-06-27,16.19,16.56,15.93,16.35,232337,0.16,0.63,0.98,3.83,0.31,1
2023-06-26,16.01,16.42,15.95,16.14,193904,0.13,0.47,0.81,2.91,0.23,1
2023-06-23,16.07,16.38,15.79,16.06,598090,-0.01,0.59,-0.06,3.67,0.29,-1
2023-06-22,16.78,16.87,16.3,16.32,257024,-0.46,0.57,-2.82,3.49,0.29,-1
2023-06-21,16.77,17.11,16.72,16.78,170156,0.01,0.39,0.06,2.31,0.19,-1
2023-06-20,17.07,17.1,16.86,16.91,185223,-0.16,0.24,-0.95,1.42,0.12,-1
2023-06-16,17.31,17.31,16.91,17.15,545558,-0.16,0.4,-0.93,2.33,0.2,-1
2023-06-15,17.2,17.46,16.98,17.2,138360,0.0,0.48,0.0,2.79,0.24,-1
2023-06-14,17.49,17.61,17.21,17.31,166688,-0.18,0.4,-1.04,2.31,0.2,-1
