Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-18,1.35,1.43,1.31,1.39,57587,0.04,0.12,2.88,8.63,0.06,1
2023-08-17,1.38,1.45,1.33,1.35,19855,-0.03,0.12,-2.22,8.86,0.06,-1
2023-08-16,1.53,1.53,1.36,1.36,68978,-0.17,0.17,-12.5,12.5,0.08,-1
2023-08-15,1.67,1.67,1.48,1.49,41504,-0.18,0.19,-12.08,12.75,0.09,-1
2023-08-14,1.88,1.9,1.65,1.66,52058,-0.22,0.25,-13.25,15.06,0.12,-1
2023-08-11,1.89,1.95,1.85,1.9,62609,0.01,0.1,0.26,5.25,0.05,1
2023-08-10,1.7,1.92,1.7,1.86,143878,0.16,0.22,8.6,11.83,0.11,1
2023-08-09,1.64,1.74,1.63,1.69,50983,0.05,0.11,2.96,6.51,0.06,1
2023-08-08,1.6,1.69,1.56,1.63,44538,0.03,0.13,1.83,7.98,0.06,-1
2023-08-07,1.44,1.78,1.41,1.63,93791,0.19,0.37,11.66,22.75,0.19,1
2023-08-04,1.6,1.6,1.44,1.44,31175,-0.16,0.16,-11.11,11.11,0.08,-1
2023-08-03,1.51,1.6,1.51,1.59,54552,0.08,0.09,4.97,5.66,0.05,1
2023-08-02,1.43,1.66,1.43,1.54,154895,0.11,0.23,7.14,14.94,0.12,1
2023-08-01,1.35,1.51,1.35,1.44,181207,0.09,0.16,6.25,11.1,0.08,1
2023-07-31,1.25,1.38,1.25,1.38,42933,0.13,0.13,9.42,9.42,0.06,1
2023-07-28,1.19,1.26,1.18,1.24,14185,0.05,0.08,4.02,6.45,0.04,1
2023-07-27,1.24,1.24,1.17,1.17,27554,-0.07,0.07,-5.98,5.98,0.04,-1
2023-07-26,1.25,1.28,1.21,1.22,27220,-0.03,0.07,-2.46,5.72,0.03,-1
2023-07-25,1.31,1.31,1.23,1.23,44388,-0.08,0.08,-6.5,6.5,0.04,-1
2023-07-24,1.3,1.3,1.26,1.28,33296,-0.02,0.04,-1.56,3.13,0.02,-1
2023-07-21,1.29,1.32,1.26,1.28,57111,-0.01,0.06,-0.69,4.68,0.03,-1
