Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-07,13.36,13.84,13.33,13.67,2268320,0.31,0.51,2.27,3.73,0.25,1
2023-07-06,13.21,13.36,13.12,13.29,2565931,0.08,0.24,0.6,1.77,0.12,-1
2023-07-05,13.63,13.66,13.41,13.41,2102597,-0.22,0.25,-1.64,1.86,0.12,-1
2023-07-03,13.74,13.99,13.66,13.72,2967712,-0.02,0.33,-0.15,2.41,0.17,1
2023-06-30,13.93,13.93,13.56,13.68,4764214,-0.25,0.37,-1.83,2.7,0.18,-1
2023-06-29,14.12,14.14,13.73,13.78,2415174,-0.34,0.41,-2.47,2.98,0.21,-1
2023-06-28,13.93,14.17,13.85,14.04,3225841,0.11,0.32,0.78,2.27,0.16,1
2023-06-27,13.41,14.07,13.37,13.96,4800967,0.55,0.7,3.94,5.01,0.35,1
2023-06-26,13.13,13.47,13.03,13.38,6079301,0.25,0.44,1.87,3.29,0.22,1
2023-06-23,13.22,13.29,12.94,13.1,4486006,-0.12,0.34,-0.92,2.63,0.17,-1
2023-06-22,13.29,13.48,13.24,13.44,2942509,0.15,0.25,1.12,1.82,0.12,1
2023-06-21,13.46,13.64,13.34,13.39,3248285,-0.07,0.29,-0.52,2.2,0.15,-1
2023-06-20,13.53,13.65,13.23,13.46,7560039,-0.07,0.42,-0.52,3.12,0.21,-1
2023-06-16,14.34,14.35,13.52,13.57,6532775,-0.77,0.82,-5.67,6.08,0.41,-1
2023-06-15,13.04,14.39,13.02,14.29,12288353,1.25,1.37,8.75,9.59,0.69,1
2023-06-14,13.2,13.49,13.15,13.19,4660862,-0.01,0.34,-0.08,2.58,0.17,1
2023-06-13,12.87,13.18,12.75,13.1,3943457,0.23,0.44,1.76,3.32,0.22,1
2023-06-12,12.9,13.14,12.79,12.85,3560460,-0.05,0.35,-0.39,2.72,0.18,-1
2023-06-09,13.42,13.43,12.85,12.86,3351351,-0.56,0.58,-4.35,4.51,0.29,-1
2023-06-08,13.61,13.66,13.3,13.32,4426482,-0.29,0.36,-2.18,2.74,0.18,-1
2023-06-07,13.66,13.78,13.44,13.67,5124318,0.01,0.34,0.07,2.51,0.17,1
2023-06-06,13.16,13.63,13.08,13.55,5854699,0.39,0.55,2.88,4.06,0.28,1
2023-06-05,13.4,13.45,13.13,13.16,3043715,-0.24,0.32,-1.82,2.43,0.16,-1
2023-06-02,13.5,13.71,13.36,13.44,4885147,-0.06,0.35,-0.45,2.6,0.18,1
2023-06-01,13.68,13.69,13.22,13.31,4449579,-0.37,0.47,-2.78,3.57,0.24,-1
2023-05-31,14.13,14.14,13.65,13.73,3820785,-0.4,0.49,-2.91,3.57,0.25,-1
2023-05-30,14.48,14.56,14.16,14.25,3198689,-0.23,0.41,-1.61,2.84,0.2,-1
2023-05-26,14.2,14.41,14.08,14.36,2946880,0.16,0.32,1.11,2.26,0.16,1
