Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-29,47.16,48.09,47.16,47.94,167837,0.78,0.93,1.63,1.94,0.47,1
2023-08-28,46.9,47.68,46.9,47.37,160579,0.47,0.78,0.99,1.65,0.39,1
2023-08-25,46.6,47.04,46.2,46.7,137365,0.1,0.84,0.21,1.8,0.42,1
2023-08-24,46.19,46.85,46.08,46.21,295284,0.02,0.77,0.04,1.67,0.39,-1
2023-08-23,45.56,46.6,45.16,46.49,184200,0.93,1.45,2.0,3.11,0.72,1
2023-08-22,45.22,45.51,44.98,45.31,211027,0.09,0.53,0.2,1.18,0.27,1
2023-08-21,44.58,44.98,44.28,44.76,191361,0.18,0.7,0.4,1.58,0.35,1
2023-08-18,44.52,45.3,44.48,44.56,249256,0.04,0.83,0.09,1.85,0.41,-1
2023-08-17,45.67,45.84,44.65,44.73,229779,-0.94,1.19,-2.1,2.66,0.6,-1
2023-08-16,46.01,46.39,45.4,45.47,147008,-0.54,0.99,-1.19,2.18,0.5,-1
2023-08-15,46.45,46.53,45.93,45.95,141161,-0.5,0.6,-1.09,1.31,0.3,-1
2023-08-14,46.83,46.91,46.36,46.72,206730,-0.11,0.55,-0.24,1.18,0.27,-1
2023-08-11,47.72,47.81,47.12,47.27,150261,-0.45,0.7,-0.95,1.47,0.35,-1
2023-08-10,48.19,48.49,47.24,47.83,183184,-0.36,1.25,-0.75,2.61,0.62,-1
2023-08-09,47.42,48.09,46.66,47.86,201253,0.44,1.43,0.92,2.98,0.71,1
2023-08-08,47.25,47.41,46.58,47.38,237153,0.13,0.83,0.27,1.75,0.41,-1
2023-08-07,48.1,48.42,47.6,47.87,194585,-0.23,0.83,-0.48,1.73,0.41,-1
2023-08-04,48.36,48.84,47.31,48.09,221890,-0.27,1.53,-0.56,3.18,0.77,-1
2023-08-03,50.5,51.34,47.09,48.2,337495,-2.3,4.25,-4.77,8.82,2.12,-1
2023-08-02,51.04,51.46,50.62,50.92,224635,-0.12,0.84,-0.24,1.65,0.42,-1
2023-08-01,51.68,52.0,51.25,51.42,306422,-0.26,0.76,-0.51,1.47,0.38,-1
2023-07-31,51.64,52.13,51.22,51.94,264123,0.3,0.91,0.58,1.75,0.46,1
2023-07-28,52.06,52.23,51.38,51.41,183884,-0.65,0.84,-1.26,1.64,0.42,1
2023-07-27,51.78,51.78,51.09,51.4,156518,-0.38,0.69,-0.74,1.34,0.34,-1
2023-07-26,51.34,51.96,51.29,51.44,115930,0.1,0.67,0.19,1.3,0.34,1
2023-07-25,51.06,51.87,51.06,51.34,176872,0.28,0.81,0.55,1.58,0.4,-1
2023-07-24,51.82,52.23,51.02,51.44,216172,-0.38,1.21,-0.74,2.35,0.6,-1
2023-07-21,52.63,52.63,51.53,51.64,270355,-0.99,1.1,-1.92,2.13,0.55,-1
2023-07-20,52.75,52.75,51.96,52.24,134246,-0.51,0.8,-0.98,1.52,0.4,-1
2023-07-19,52.75,53.29,52.12,52.53,300656,-0.22,1.17,-0.42,2.23,0.59,-1
2023-07-18,51.64,53.22,51.64,52.86,340437,1.22,1.58,2.31,2.98,0.79,1
2023-07-17,51.36,52.03,50.99,51.81,195466,0.45,1.04,0.87,2.01,0.52,1
2023-07-14,52.42,52.44,51.17,51.38,291375,-1.04,1.27,-2.02,2.48,0.64,-1
2023-07-13,53.07,53.12,52.62,52.64,170759,-0.43,0.5,-0.82,0.95,0.25,-1
2023-07-12,52.79,53.67,52.58,52.98,366021,0.19,1.09,0.36,2.06,0.55,1
2023-07-11,51.68,52.21,51.46,52.02,168240,0.34,0.75,0.65,1.44,0.38,1
2023-07-10,50.76,51.94,50.76,51.48,173437,0.72,1.18,1.4,2.29,0.59,1
2023-07-07,50.79,51.62,50.79,50.9,193952,0.11,0.83,0.22,1.63,0.41,1
2023-07-06,50.3,51.06,49.99,50.53,226444,0.23,1.07,0.46,2.12,0.54,-1
2023-07-05,51.21,51.51,50.77,50.89,261106,-0.32,0.74,-0.63,1.45,0.37,-1
2023-07-03,51.02,51.95,51.02,51.82,111346,0.8,0.93,1.54,1.79,0.46,1
2023-06-30,52.08,52.29,51.27,51.28,291054,-0.8,1.02,-1.56,1.99,0.51,-1
2023-06-29,50.2,51.56,50.2,51.54,154376,1.34,1.36,2.6,2.64,0.68,1
2023-06-28,51.13,51.13,50.21,50.28,268181,-0.85,0.92,-1.69,1.83,0.46,-1
2023-06-27,50.35,51.17,50.11,50.94,209428,0.59,1.06,1.16,2.09,0.53,1
2023-06-26,49.35,50.61,48.92,50.12,232235,0.77,1.69,1.54,3.37,0.84,1
2023-06-23,49.78,50.06,48.86,49.32,1644018,-0.46,1.2,-0.93,2.43,0.6,-1
2023-06-22,51.58,51.58,50.36,50.56,236861,-1.02,1.22,-2.02,2.41,0.61,-1
2023-06-21,51.42,52.28,51.21,51.59,230211,0.17,1.07,0.33,2.07,0.54,-1
2023-06-20,52.35,52.7,51.86,51.91,222273,-0.44,0.84,-0.85,1.62,0.42,-1
2023-06-16,53.25,53.32,51.82,52.57,961158,-0.68,1.51,-1.29,2.86,0.75,-1
2023-06-15,51.49,52.93,51.41,52.83,276096,1.34,1.52,2.54,2.88,0.76,1
2023-06-14,52.73,52.98,51.84,52.22,278956,-0.51,1.14,-0.98,2.18,0.57,-1
2023-06-13,52.45,53.21,52.06,52.5,359161,0.05,1.15,0.1,2.19,0.57,-1
2023-06-12,52.29,52.88,51.76,52.59,237601,0.3,1.12,0.57,2.13,0.56,1
2023-06-09,52.47,52.47,51.8,52.27,151492,-0.2,0.67,-0.38,1.28,0.34,-1
2023-06-08,53.54,53.54,52.13,52.37,287836,-1.17,1.41,-2.23,2.69,0.7,-1
2023-06-07,51.4,53.76,51.34,53.7,616014,2.3,2.42,4.28,4.51,1.21,1
2023-06-06,49.57,51.17,49.36,51.0,336664,1.43,1.82,2.8,3.56,0.91,1
2023-06-05,51.08,51.23,48.41,49.66,390000,-1.42,2.82,-2.86,5.68,1.41,-1
2023-06-02,49.68,51.54,49.52,51.5,531423,1.82,2.02,3.53,3.92,1.01,1
2023-06-01,47.96,49.28,47.49,49.28,397035,1.32,1.79,2.68,3.63,0.89,1
2023-05-31,48.35,48.83,47.6,47.97,442727,-0.38,1.23,-0.79,2.56,0.61,-1
2023-05-30,48.86,48.96,48.03,48.28,220577,-0.58,0.94,-1.2,1.94,0.47,-1
2023-05-26,48.07,49.1,48.06,48.6,391606,0.53,1.04,1.09,2.14,0.52,1
2023-05-25,47.43,48.17,47.27,48.16,246117,0.73,0.9,1.52,1.87,0.45,1
2023-05-24,48.5,48.5,47.38,47.77,426220,-0.73,1.12,-1.53,2.36,0.56,-1
2023-05-23,48.81,49.61,48.14,48.54,242182,-0.27,1.47,-0.56,3.03,0.73,-1
2023-05-22,49.06,49.22,48.38,49.19,284091,0.13,0.84,0.26,1.7,0.42,1
2023-05-19,48.99,48.99,47.72,48.76,465041,-0.23,1.27,-0.47,2.6,0.64,1
2023-05-18,47.87,48.69,47.73,48.52,222447,0.65,0.96,1.34,1.98,0.48,1
2023-05-17,46.8,48.25,46.64,48.03,371671,1.23,1.61,2.56,3.35,0.8,1
2023-05-16,46.5,46.83,45.76,46.38,246552,-0.12,1.07,-0.26,2.31,0.54,-1
2023-05-15,46.89,47.97,46.74,47.55,270406,0.66,1.23,1.39,2.59,0.61,1
2023-05-12,46.79,47.33,46.18,46.8,324842,0.01,1.14,0.02,2.45,0.57,1
2023-05-11,46.3,46.8,45.88,46.57,309780,0.27,0.92,0.58,1.98,0.46,-1
2023-05-10,45.59,46.96,45.0,46.86,421881,1.27,1.96,2.71,4.18,0.98,1
2023-05-09,45.85,45.85,42.0,44.88,561100,-0.97,3.85,-2.16,8.58,1.93,-1
2023-05-08,47.16,47.33,46.31,46.85,179259,-0.31,1.02,-0.66,2.18,0.51,-1
2023-05-05,46.45,47.03,46.21,46.98,195719,0.53,0.82,1.13,1.74,0.41,1
2023-05-04,45.34,45.7,44.52,45.46,324354,0.12,1.18,0.26,2.6,0.59,-1
2023-05-03,46.2,47.0,45.78,45.82,329872,-0.38,1.22,-0.83,2.66,0.61,-1
2023-05-02,46.2,46.42,44.82,46.05,312664,-0.15,1.6,-0.33,3.47,0.8,-1
2023-05-01,45.59,47.0,45.59,46.42,219296,0.83,1.41,1.79,3.04,0.7,1
2023-04-28,44.77,46.14,44.77,45.62,189488,0.85,1.38,1.86,3.01,0.69,1
2023-04-27,44.05,44.97,43.76,44.94,238270,0.89,1.21,1.98,2.7,0.61,1
2023-04-26,44.81,45.01,43.56,43.87,267303,-0.94,1.45,-2.14,3.31,0.72,-1
2023-04-25,45.7,46.06,45.1,45.34,171799,-0.36,0.96,-0.79,2.12,0.48,-1
2023-04-24,45.85,46.58,45.8,46.2,101804,0.35,0.78,0.76,1.68,0.39,1
2023-04-21,46.61,46.61,45.78,45.99,162500,-0.62,0.83,-1.35,1.8,0.41,-1
2023-04-20,45.84,46.41,45.75,46.4,160179,0.56,0.66,1.21,1.42,0.33,1
2023-04-19,45.73,46.14,45.54,46.1,195250,0.37,0.6,0.8,1.3,0.3,1
2023-04-18,46.83,47.0,45.73,45.99,279564,-0.84,1.27,-1.83,2.76,0.64,-1
2023-04-17,46.09,46.73,45.79,46.61,155359,0.52,0.94,1.12,2.02,0.47,1
2023-04-14,46.23,46.69,45.5,45.98,225715,-0.25,1.19,-0.54,2.6,0.6,-1
2023-04-13,45.6,46.53,45.27,46.16,218524,0.56,1.26,1.21,2.73,0.63,1
2023-04-12,45.93,46.0,45.3,45.48,280882,-0.45,0.7,-0.99,1.54,0.35,-1
2023-04-11,45.26,46.11,45.18,45.48,328203,0.22,0.93,0.48,2.04,0.46,1
2023-04-10,43.77,45.19,43.57,44.99,405954,1.22,1.62,2.71,3.6,0.81,1
2023-04-06,44.0,44.2,43.56,43.95,253274,-0.05,0.64,-0.11,1.44,0.32,-1
2023-04-05,43.78,44.24,43.5,44.01,251470,0.23,0.74,0.52,1.68,0.37,-1
2023-04-04,46.32,46.4,43.73,44.16,283425,-2.16,2.68,-4.89,6.06,1.34,-1
2023-04-03,47.41,47.41,45.95,46.23,360602,-1.18,1.46,-2.55,3.16,0.73,-1
2023-03-31,46.7,47.88,46.66,47.53,468862,0.83,1.23,1.75,2.58,0.61,1
2023-03-30,46.55,46.75,45.54,46.31,1420940,-0.24,1.21,-0.52,2.61,0.61,1
2023-03-29,45.56,46.24,45.15,46.12,281216,0.56,1.09,1.21,2.37,0.55,1
2023-03-28,45.0,45.38,44.59,45.04,270989,0.04,0.78,0.09,1.74,0.39,-1
2023-03-27,44.83,45.21,43.61,45.16,291844,0.33,1.6,0.73,3.54,0.8,1
2023-03-24,43.66,44.25,43.23,44.16,233113,0.5,1.02,1.13,2.31,0.51,1
2023-03-23,44.45,44.84,43.55,43.97,294389,-0.48,1.29,-1.09,2.93,0.65,-1
2023-03-22,45.44,45.72,44.15,44.3,348357,-1.14,1.57,-2.57,3.53,0.78,-1
2023-03-21,45.28,46.17,44.97,45.34,466175,0.06,1.2,0.13,2.65,0.6,1
2023-03-20,44.09,44.94,43.8,44.35,405343,0.26,1.14,0.59,2.57,0.57,1
2023-03-17,43.96,45.3,43.27,43.67,1686876,-0.29,2.03,-0.66,4.65,1.01,-1
2023-03-16,42.87,45.08,42.71,44.15,559148,1.28,2.37,2.9,5.36,1.18,1
