Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-24,27.99,28.17,27.9,28.06,31491,0.08,0.27,0.27,0.96,0.14,1
2023-07-21,27.42,27.48,27.33,27.44,141757,0.02,0.15,0.07,0.55,0.08,-1
2023-07-20,27.75,27.85,27.41,27.46,21981,-0.29,0.44,-1.06,1.6,0.22,-1
2023-07-19,27.8,27.8,27.4,27.62,22576,-0.18,0.4,-0.65,1.45,0.2,1
2023-07-18,27.41,27.7,27.41,27.61,30389,0.2,0.29,0.72,1.05,0.14,-1
2023-07-17,27.56,28.6,27.41,27.62,33037,0.06,1.19,0.22,4.31,0.6,-1
2023-07-14,28.03,28.03,27.74,27.79,28445,-0.24,0.29,-0.86,1.04,0.15,-1
2023-07-13,27.18,27.88,27.14,27.87,34143,0.69,0.74,2.48,2.66,0.37,1
2023-07-12,26.77,26.94,26.66,26.86,20012,0.09,0.28,0.34,1.04,0.14,1
2023-07-11,26.23,26.49,26.15,26.41,29016,0.18,0.34,0.68,1.29,0.17,1
2023-07-10,25.81,26.11,25.81,26.08,26730,0.27,0.3,1.04,1.15,0.15,-1
2023-07-07,25.93,26.22,25.63,26.11,42286,0.18,0.59,0.69,2.26,0.29,-1
2023-07-06,26.49,26.52,26.18,26.38,42109,-0.11,0.34,-0.42,1.29,0.17,-1
2023-07-05,26.79,26.89,26.47,26.83,29068,0.04,0.42,0.15,1.57,0.21,-1
2023-07-03,27.0,27.17,26.9,26.95,19383,-0.05,0.27,-0.19,1.0,0.14,1
2023-06-30,26.67,26.96,26.57,26.89,49708,0.22,0.39,0.82,1.44,0.19,1
2023-06-29,26.17,26.41,25.99,26.37,34091,0.2,0.42,0.76,1.59,0.21,1
2023-06-28,25.96,26.24,25.76,26.09,51433,0.13,0.48,0.5,1.84,0.24,-1
2023-06-27,25.98,26.25,25.76,26.18,65176,0.2,0.49,0.76,1.87,0.24,1
2023-06-26,26.01,26.21,25.93,25.96,34959,-0.05,0.28,-0.19,1.08,0.14,-1
2023-06-23,26.09,26.09,25.8,25.99,37217,-0.1,0.29,-0.38,1.11,0.14,-1
2023-06-22,26.54,26.57,26.34,26.55,32078,0.01,0.23,0.04,0.85,0.11,-1
2023-06-21,27.15,27.28,26.86,26.99,27887,-0.16,0.42,-0.59,1.56,0.21,-1
2023-06-20,27.61,27.61,27.18,27.4,41207,-0.21,0.43,-0.77,1.57,0.21,-1
2023-06-16,27.8,27.81,27.5,27.51,33427,-0.29,0.31,-1.05,1.13,0.15,-1
2023-06-15,27.18,27.76,27.18,27.71,35088,0.53,0.58,1.91,2.09,0.29,1
2023-06-14,26.66,27.01,26.52,26.81,23118,0.15,0.49,0.56,1.83,0.25,1
2023-06-13,26.13,26.37,26.09,26.34,35551,0.21,0.28,0.8,1.08,0.14,1
2023-06-12,25.79,25.79,25.51,25.72,21864,-0.07,0.28,-0.27,1.07,0.14,1
2023-06-09,25.64,25.66,25.48,25.66,52985,0.02,0.18,0.08,0.7,0.09,-1
2023-06-08,25.62,25.79,25.48,25.7,18819,0.08,0.3,0.31,1.19,0.15,-1
2023-06-07,25.96,26.14,25.71,25.82,37459,-0.14,0.43,-0.54,1.67,0.21,-1
2023-06-06,25.64,25.88,25.6,25.86,43640,0.22,0.28,0.85,1.08,0.14,1
2023-06-05,25.88,25.9,25.62,25.68,43600,-0.2,0.28,-0.78,1.09,0.14,-1
2023-06-02,25.49,25.98,25.41,25.8,81315,0.31,0.58,1.2,2.23,0.29,1
2023-06-01,24.74,25.49,24.61,25.49,48129,0.75,0.88,2.94,3.45,0.44,1
2023-05-31,24.67,24.67,24.4,24.6,26928,-0.07,0.27,-0.28,1.1,0.14,-1
2023-05-30,24.97,25.11,24.63,24.87,26488,-0.1,0.48,-0.4,1.93,0.24,-1
2023-05-26,25.23,25.23,24.69,24.88,25195,-0.35,0.54,-1.41,2.17,0.27,1
2023-05-25,24.72,24.93,24.6,24.86,34380,0.14,0.33,0.56,1.33,0.16,1
2023-05-24,24.54,24.54,24.18,24.3,19222,-0.24,0.36,-0.99,1.48,0.18,-1
2023-05-23,24.79,24.95,24.61,24.66,22606,-0.13,0.34,-0.53,1.38,0.17,-1
2023-05-22,24.87,25.11,24.8,25.0,85823,0.13,0.31,0.52,1.24,0.15,1
2023-05-19,25.05,25.11,24.44,24.65,245066,-0.4,0.67,-1.62,2.73,0.34,-1
2023-05-18,24.72,24.99,24.72,24.94,23442,0.22,0.27,0.88,1.08,0.13,1
