Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-14,0.13,0.13,0.13,0.13,3423,0.0,0.01,2.85,4.46,0.0,-1
2023-08-11,0.13,0.15,0.13,0.13,8608,0.0,0.02,0.0,19.08,0.01,-1
2023-08-10,0.13,0.14,0.13,0.14,36164,0.0,0.01,3.03,7.01,0.0,1
2023-08-09,0.18,0.18,0.13,0.13,17478,-0.05,0.05,-36.53,36.68,0.02,-1
2023-08-08,0.13,0.14,0.13,0.14,1103,0.01,0.01,4.62,4.62,0.0,1
2023-08-07,0.13,0.16,0.13,0.13,4413,-0.0,0.03,-0.77,26.77,0.02,-1
2023-08-04,0.18,0.18,0.13,0.14,9940,-0.04,0.05,-32.47,39.48,0.03,-1
2023-08-03,0.16,0.16,0.13,0.16,27463,-0.0,0.04,-0.63,22.77,0.02,-1
2023-08-02,0.17,0.17,0.14,0.16,16105,-0.01,0.03,-5.92,19.63,0.02,-1
2023-08-01,0.2,0.2,0.17,0.17,1231,-0.03,0.03,-16.83,16.89,0.01,-1
2023-07-31,0.17,0.2,0.17,0.17,12262,0.0,0.03,0.35,15.77,0.01,-1
2023-07-28,0.2,0.2,0.17,0.19,15723,-0.01,0.03,-6.04,15.91,0.02,-1
2023-07-27,0.23,0.25,0.2,0.21,9537,-0.02,0.05,-11.65,26.65,0.03,-1
2023-07-26,0.23,0.24,0.23,0.23,7038,0.0,0.01,0.78,6.47,0.01,-1
2023-07-25,0.2,0.23,0.2,0.23,1714,0.03,0.03,13.81,13.81,0.02,1
2023-07-24,0.19,0.21,0.19,0.2,10632,0.01,0.02,5.77,10.0,0.01,-1
2023-07-21,0.19,0.2,0.18,0.2,23887,0.01,0.02,7.0,11.75,0.01,1
2023-07-20,0.19,0.21,0.17,0.17,3001,-0.02,0.04,-11.7,23.46,0.02,-1
2023-07-19,0.19,0.2,0.19,0.19,6730,0.0,0.01,0.53,5.0,0.0,-1
2023-07-18,0.26,0.28,0.19,0.23,55798,-0.03,0.09,-11.35,36.62,0.04,-1
2023-07-17,0.33,0.33,0.2,0.25,158373,-0.08,0.13,-30.35,49.65,0.06,-1
2023-07-14,0.14,0.4,0.14,0.37,284033,0.23,0.26,63.22,71.08,0.13,1
2023-07-13,0.2,0.2,0.18,0.2,11134,-0.0,0.02,-0.15,8.53,0.01,1
2023-07-12,0.16,0.18,0.13,0.16,29911,0.0,0.05,2.5,31.79,0.03,-1
2023-07-11,0.16,0.2,0.16,0.16,3193,0.0,0.04,2.37,26.19,0.02,-1
2023-07-10,0.2,0.2,0.17,0.2,6927,0.0,0.03,0.9,16.38,0.02,-1
2023-07-07,0.2,0.2,0.16,0.2,3340,-0.0,0.04,-0.05,21.11,0.02,-1
2023-07-06,0.18,0.2,0.18,0.2,2019,0.02,0.02,10.0,10.0,0.01,-1
2023-07-05,0.23,0.23,0.17,0.2,14538,-0.03,0.06,-15.0,27.75,0.03,-1
2023-07-03,0.18,0.21,0.18,0.21,1604,0.03,0.03,14.29,15.48,0.02,1
2023-06-30,0.19,0.2,0.19,0.2,1370,0.01,0.01,5.85,5.85,0.01,-1
2023-06-29,0.18,0.23,0.16,0.2,32323,0.02,0.08,10.0,38.05,0.04,-1
2023-06-28,0.18,0.23,0.18,0.21,29902,0.04,0.06,17.54,27.25,0.03,1
2023-06-27,0.23,0.23,0.16,0.19,51649,-0.04,0.08,-23.16,41.58,0.04,-1
2023-06-26,0.27,0.28,0.18,0.23,98227,-0.03,0.1,-14.53,42.78,0.05,-1
2023-06-23,0.31,0.31,0.26,0.27,2289,-0.04,0.05,-15.67,18.66,0.02,-1
2023-06-22,0.22,0.39,0.22,0.31,29691,0.1,0.17,30.76,56.2,0.09,1
2023-06-21,0.25,0.3,0.25,0.3,33713,0.05,0.05,16.11,16.11,0.02,1
2023-06-20,0.25,0.29,0.25,0.28,71043,0.03,0.04,10.71,14.29,0.02,1
2023-06-16,0.24,0.31,0.18,0.25,107916,0.01,0.13,4.38,53.39,0.07,1
2023-06-15,0.19,0.25,0.18,0.23,147040,0.05,0.07,20.75,29.31,0.03,1
2023-06-14,0.13,0.24,0.13,0.19,574225,0.06,0.11,29.92,59.3,0.05,1
2023-06-13,0.15,0.16,0.13,0.13,353861,-0.02,0.04,-18.46,28.08,0.02,-1
2023-06-12,0.2,0.26,0.15,0.15,813218,-0.05,0.11,-29.87,71.43,0.06,-1
2023-06-09,0.28,0.3,0.19,0.2,5205646,-0.08,0.11,-39.03,54.62,0.05,-1
2023-06-08,0.3,0.35,0.28,0.3,166296,-0.0,0.06,-0.94,21.9,0.03,-1
2023-06-07,0.3,0.33,0.29,0.31,162828,0.01,0.04,3.5,12.27,0.02,1
2023-06-06,0.3,0.33,0.28,0.3,233865,0.0,0.05,0.43,15.95,0.02,-1
2023-06-05,0.34,0.36,0.27,0.31,505427,-0.04,0.09,-12.38,29.22,0.04,1
2023-06-02,0.3,0.33,0.28,0.3,366693,-0.0,0.04,-0.83,15.01,0.02,1
2023-06-01,0.3,0.33,0.27,0.28,40946,-0.02,0.06,-8.93,21.71,0.03,-1
2023-05-31,0.32,0.32,0.27,0.28,87281,-0.04,0.05,-15.43,18.07,0.03,-1
2023-05-30,0.33,0.36,0.27,0.32,70247,-0.01,0.09,-3.53,28.34,0.05,-1
2023-05-26,0.34,0.34,0.26,0.33,205372,-0.01,0.08,-2.22,23.03,0.04,-1
2023-05-25,0.38,0.39,0.32,0.34,189886,-0.04,0.07,-13.2,20.46,0.03,-1
2023-05-24,0.41,0.43,0.38,0.39,129914,-0.02,0.05,-5.39,12.62,0.02,-1
2023-05-23,0.42,0.46,0.37,0.41,583298,-0.01,0.09,-1.49,21.35,0.04,-1
2023-05-22,0.63,0.63,0.6,0.61,101601,-0.02,0.03,-3.06,4.91,0.02,-1
2023-05-19,0.65,0.65,0.62,0.62,10134,-0.03,0.03,-4.18,4.19,0.01,-1
2023-05-18,0.62,0.67,0.59,0.63,52225,0.01,0.08,1.59,13.02,0.04,-1
2023-05-17,0.66,0.66,0.62,0.65,11614,-0.01,0.04,-1.57,6.12,0.02,-1
2023-05-16,0.65,0.68,0.62,0.66,36097,0.01,0.06,2.21,8.94,0.03,1
2023-05-15,0.64,0.7,0.62,0.65,37778,0.01,0.08,1.56,12.39,0.04,-1
2023-05-12,0.78,0.79,0.64,0.67,86931,-0.11,0.15,-16.44,22.38,0.07,-1
2023-05-11,0.84,0.84,0.73,0.75,70026,-0.09,0.11,-12.16,14.67,0.05,-1
2023-05-10,0.66,0.95,0.66,0.84,1174758,0.18,0.29,21.39,34.49,0.14,1
2023-05-09,0.7,0.7,0.62,0.67,62080,-0.03,0.08,-4.07,11.89,0.04,1
2023-05-08,0.64,0.67,0.61,0.64,39055,-0.0,0.06,-0.27,9.2,0.03,1
2023-05-05,0.68,0.73,0.61,0.63,59928,-0.05,0.12,-7.8,18.6,0.06,-1
2023-05-04,0.57,0.76,0.55,0.66,357049,0.09,0.21,12.98,32.06,0.1,1
2023-05-03,0.52,0.59,0.52,0.56,96201,0.04,0.07,6.31,13.32,0.04,-1
2023-05-02,0.63,0.67,0.52,0.56,152071,-0.07,0.15,-12.64,26.44,0.07,-1
2023-05-01,0.63,0.67,0.6,0.61,37729,-0.02,0.07,-2.61,10.68,0.03,-1
2023-04-28,0.7,0.72,0.6,0.63,105524,-0.07,0.12,-10.88,18.37,0.06,-1
2023-04-27,0.7,0.76,0.66,0.7,41528,-0.0,0.09,-0.69,13.42,0.05,-1
2023-04-26,0.75,0.75,0.7,0.71,46620,-0.04,0.05,-5.62,7.39,0.03,-1
2023-04-25,0.77,0.79,0.69,0.76,34209,-0.01,0.1,-1.17,13.51,0.05,-1
2023-04-24,0.77,0.84,0.76,0.8,97836,0.03,0.08,3.99,9.71,0.04,-1
