Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-22,104.75,107.2,104.75,107.0,60285,2.25,2.45,2.1,2.29,1.23,1
2023-08-21,104.69,104.92,103.75,104.14,48633,-0.55,1.17,-0.53,1.12,0.59,-1
2023-08-18,102.84,106.03,102.84,104.71,113170,1.87,3.19,1.79,3.05,1.59,1
2023-08-17,104.23,105.9,103.5,103.55,52920,-0.68,2.4,-0.66,2.32,1.2,-1
2023-08-16,104.74,106.64,103.52,103.68,50319,-1.06,3.13,-1.02,3.02,1.56,-1
2023-08-15,105.16,105.7,103.95,104.66,79288,-0.5,1.74,-0.48,1.67,0.87,-1
2023-08-14,106.63,107.37,104.67,106.1,65017,-0.53,2.7,-0.5,2.54,1.35,-1
2023-08-11,107.7,108.69,105.58,106.52,64668,-1.18,3.11,-1.11,2.92,1.55,-1
2023-08-10,106.4,108.54,105.71,108.33,88594,1.93,2.83,1.78,2.61,1.42,1
2023-08-09,105.25,107.07,104.16,105.96,67518,0.71,2.91,0.67,2.75,1.45,1
2023-08-08,105.39,106.09,103.54,105.62,81388,0.23,2.55,0.22,2.41,1.27,-1
2023-08-07,103.78,107.07,103.46,106.83,86105,3.05,3.61,2.86,3.38,1.8,1
2023-08-04,103.74,105.29,103.29,103.43,80546,-0.31,2.0,-0.3,1.93,1.0,-1
2023-08-03,107.94,107.94,103.88,103.9,88618,-4.04,4.06,-3.89,3.91,2.03,-1
2023-08-02,110.64,113.84,107.5,107.91,133331,-2.73,6.34,-2.53,5.88,3.17,-1
2023-08-01,118.12,120.2,115.61,116.94,163181,-1.18,4.59,-1.01,3.93,2.3,-1
2023-07-31,116.56,120.69,116.25,119.14,88403,2.58,4.44,2.17,3.73,2.22,1
2023-07-28,116.4,117.39,115.3,116.06,38812,-0.34,2.09,-0.29,1.8,1.05,1
2023-07-27,117.18,117.18,115.28,116.01,63154,-1.17,1.9,-1.01,1.64,0.95,-1
2023-07-26,114.87,116.18,113.9,116.02,67537,1.15,2.28,0.99,1.97,1.14,1
2023-07-25,114.62,116.0,114.62,115.64,71800,1.02,1.38,0.88,1.19,0.69,1
2023-07-24,114.68,115.21,113.4,113.41,67815,-1.27,1.81,-1.12,1.6,0.9,-1
2023-07-21,116.16,116.16,114.31,114.39,124704,-1.77,1.85,-1.55,1.62,0.92,-1
2023-07-20,116.46,117.0,115.5,115.95,84290,-0.51,1.5,-0.44,1.29,0.75,-1
2023-07-19,119.3,119.3,115.99,116.27,81248,-3.03,3.31,-2.61,2.85,1.66,-1
2023-07-18,120.76,121.54,116.36,119.8,110313,-0.96,5.17,-0.8,4.32,2.59,-1
2023-07-17,120.06,122.62,119.23,121.3,96227,1.24,3.39,1.02,2.79,1.7,1
2023-07-14,120.84,121.52,119.66,120.96,71998,0.12,1.86,0.1,1.53,0.93,-1
2023-07-13,121.67,123.41,120.14,121.37,81516,-0.3,3.27,-0.25,2.7,1.64,1
2023-07-12,120.4,122.51,120.04,121.23,155883,0.83,2.47,0.68,2.04,1.23,1
2023-07-11,119.18,119.97,117.6,118.93,78906,-0.25,2.37,-0.21,1.99,1.19,-1
2023-07-10,117.12,119.96,115.23,119.19,111413,2.07,4.73,1.74,3.97,2.36,1
2023-07-07,116.33,119.05,116.33,117.76,62047,1.43,2.72,1.21,2.31,1.36,1
2023-07-06,114.31,116.58,113.15,116.49,81847,2.18,3.43,1.87,2.94,1.71,1
2023-07-05,115.46,115.77,113.21,115.1,73261,-0.36,2.56,-0.31,2.22,1.28,1
2023-07-03,114.16,115.24,113.93,115.04,26692,0.88,1.31,0.76,1.14,0.65,1
2023-06-30,115.42,115.42,113.19,114.2,90401,-1.22,2.23,-1.07,1.95,1.12,-1
2023-06-29,112.27,114.69,112.25,114.6,46866,2.33,2.44,2.03,2.13,1.22,1
2023-06-28,109.6,111.56,108.74,111.24,121662,1.64,2.82,1.47,2.54,1.41,1
2023-06-27,108.35,111.39,108.0,110.17,81271,1.82,3.39,1.65,3.08,1.7,1
2023-06-26,107.02,109.24,107.02,107.93,54099,0.91,2.22,0.84,2.06,1.11,1
2023-06-23,106.97,107.73,106.27,107.19,157154,0.22,1.46,0.21,1.36,0.73,-1
2023-06-22,109.1,109.1,107.56,108.93,54436,-0.17,1.53,-0.16,1.41,0.77,-1
2023-06-21,108.66,110.45,107.77,109.7,61243,1.04,2.68,0.95,2.44,1.34,1
2023-06-20,108.93,110.11,107.82,109.44,68495,0.51,2.3,0.47,2.1,1.15,-1
2023-06-16,113.68,113.81,109.14,109.48,319522,-4.2,4.67,-3.84,4.27,2.34,-1
2023-06-15,109.86,112.64,108.91,112.45,88727,2.59,3.73,2.3,3.32,1.87,1
2023-06-14,113.16,113.16,108.69,109.91,81187,-3.25,4.47,-2.96,4.07,2.23,-1
2023-06-13,108.99,112.32,108.0,111.98,109235,2.99,4.32,2.67,3.86,2.16,1
2023-06-12,108.31,108.81,107.48,107.93,74108,-0.38,1.33,-0.35,1.23,0.66,-1
2023-06-09,110.07,110.07,107.57,108.64,59693,-1.43,2.5,-1.32,2.3,1.25,-1
2023-06-08,110.24,111.42,109.35,110.56,57533,0.32,2.07,0.29,1.87,1.04,-1
2023-06-07,109.99,112.26,109.67,110.57,93731,0.58,2.59,0.52,2.34,1.3,1
2023-06-06,104.93,109.86,104.93,109.37,88623,4.44,4.93,4.06,4.51,2.46,1
2023-06-05,107.96,107.96,101.91,104.96,63500,-3.0,6.05,-2.86,5.76,3.02,-1
2023-06-02,106.32,109.4,105.28,109.04,82444,2.72,4.12,2.49,3.78,2.06,1
2023-06-01,100.61,103.47,99.88,102.91,45992,2.3,3.59,2.23,3.49,1.8,1
2023-05-31,101.29,102.11,99.33,100.34,102976,-0.95,2.78,-0.95,2.77,1.39,-1
2023-05-30,103.97,104.34,101.49,101.65,88754,-2.32,2.85,-2.28,2.8,1.43,-1
2023-05-26,101.08,104.77,100.68,104.44,64170,3.36,4.09,3.22,3.92,2.05,1
2023-05-25,102.07,102.87,100.08,100.59,58998,-1.48,2.79,-1.47,2.77,1.39,-1
2023-05-24,103.82,103.82,101.56,102.18,60748,-1.64,2.26,-1.61,2.21,1.13,-1
2023-05-23,105.22,105.22,104.1,104.32,62438,-0.9,1.12,-0.86,1.08,0.56,-1
2023-05-22,105.42,105.76,103.59,105.0,51749,-0.42,2.17,-0.4,2.07,1.09,-1
2023-05-19,106.79,107.37,105.18,105.35,67595,-1.44,2.19,-1.37,2.08,1.09,-1
2023-05-18,104.89,106.26,103.63,105.54,70330,0.65,2.63,0.62,2.49,1.32,1
2023-05-17,102.91,104.89,101.63,104.48,146042,1.57,3.26,1.5,3.12,1.63,1
2023-05-16,102.61,102.75,101.01,101.92,71610,-0.69,1.74,-0.68,1.71,0.87,-1
2023-05-15,102.66,104.21,102.08,102.94,54915,0.28,2.13,0.27,2.07,1.06,1
2023-05-12,102.22,103.93,100.82,101.63,68071,-0.59,3.11,-0.58,3.06,1.56,-1
2023-05-11,101.37,103.16,100.96,102.44,63518,1.07,2.21,1.04,2.16,1.11,-1
2023-05-10,105.28,106.42,101.92,102.92,78325,-2.36,4.5,-2.29,4.37,2.25,-1
2023-05-09,104.19,104.63,103.18,103.64,61231,-0.55,1.45,-0.53,1.4,0.72,-1
2023-05-08,107.51,107.86,103.14,104.23,82096,-3.28,4.72,-3.15,4.53,2.36,-1
2023-05-05,108.48,108.78,106.1,106.52,92369,-1.96,2.68,-1.84,2.52,1.34,1
2023-05-04,117.0,117.05,105.62,106.37,143197,-10.63,11.43,-9.99,10.75,5.71,-1
2023-05-03,112.32,121.29,109.66,118.11,178075,5.79,11.63,4.9,9.85,5.82,1
2023-05-02,107.17,107.74,105.77,106.81,105123,-0.36,1.97,-0.34,1.84,0.98,-1
2023-05-01,108.67,109.99,107.35,107.98,82292,-0.69,2.64,-0.64,2.45,1.32,-1
2023-04-28,108.44,110.82,107.72,108.31,113859,-0.13,3.1,-0.12,2.86,1.55,-1
2023-04-27,107.87,109.0,106.98,108.72,58079,0.85,2.02,0.78,1.86,1.01,1
2023-04-26,107.17,108.95,107.0,107.61,52124,0.44,1.95,0.41,1.81,0.98,-1
2023-04-25,110.21,110.21,107.38,107.82,52782,-2.39,2.83,-2.22,2.62,1.41,-1
2023-04-24,110.38,112.01,110.36,111.69,51617,1.31,1.65,1.17,1.48,0.83,1
2023-04-21,112.91,112.91,109.5,110.25,109459,-2.66,3.41,-2.41,3.09,1.7,-1
2023-04-20,113.43,115.0,111.84,113.11,83774,-0.32,3.17,-0.28,2.8,1.58,-1
2023-04-19,113.92,114.77,112.85,114.71,64756,0.79,1.92,0.69,1.67,0.96,-1
2023-04-18,114.9,119.75,112.24,114.8,154924,-0.1,7.51,-0.09,6.54,3.76,1
2023-04-17,114.29,115.54,112.88,114.35,55493,0.06,2.67,0.05,2.33,1.33,1
