Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-15,65.18,68.53,65.18,67.43,54438,2.25,3.35,3.34,4.97,1.67,1
2023-08-14,63.19,65.02,62.9,64.99,75605,1.8,2.12,2.77,3.27,1.06,1
2023-08-11,64.0,64.61,63.55,64.07,23309,0.07,1.06,0.11,1.65,0.53,-1
2023-08-10,64.01,64.61,63.35,64.13,37695,0.12,1.26,0.19,1.96,0.63,1
2023-08-09,64.05,64.68,63.6,64.0,28662,-0.05,1.09,-0.08,1.7,0.54,-1
2023-08-08,63.67,64.53,63.46,64.32,22523,0.65,1.07,1.01,1.66,0.54,1
2023-08-07,63.85,64.17,63.46,63.69,19655,-0.16,0.71,-0.25,1.11,0.36,-1
2023-08-04,63.6,63.92,62.87,63.7,22635,0.1,1.05,0.16,1.65,0.53,-1
2023-08-03,63.59,64.61,63.51,63.71,10078,0.12,1.1,0.19,1.73,0.55,1
2023-08-02,64.0,64.54,63.48,63.61,15083,-0.39,1.07,-0.61,1.67,0.53,-1
2023-08-01,62.45,64.17,62.45,63.89,27388,1.44,1.72,2.25,2.68,0.86,1
2023-07-31,63.6,63.9,62.45,62.77,29843,-0.83,1.45,-1.32,2.31,0.72,-1
2023-07-28,63.55,64.14,63.55,63.62,13511,0.07,0.59,0.11,0.94,0.3,1
2023-07-27,64.08,64.75,63.03,63.55,22630,-0.53,1.72,-0.83,2.71,0.86,-1
2023-07-26,62.94,64.07,62.94,64.06,31547,1.12,1.13,1.75,1.76,0.56,1
2023-07-25,63.16,63.86,62.53,62.85,23662,-0.31,1.34,-0.49,2.12,0.67,-1
2023-07-24,63.07,63.76,62.66,63.34,23654,0.27,1.1,0.43,1.74,0.55,1
2023-07-21,63.77,63.99,62.57,63.09,27398,-0.68,1.42,-1.08,2.25,0.71,-1
2023-07-20,63.5,64.11,62.63,63.77,37553,0.27,1.48,0.42,2.32,0.74,1
2023-07-19,61.99,63.64,61.65,63.64,39222,1.65,1.99,2.59,3.13,1.0,1
2023-07-18,61.94,62.79,61.17,62.08,63402,0.14,1.62,0.23,2.61,0.81,-1
2023-07-17,62.15,63.01,62.15,62.31,54081,0.16,0.86,0.26,1.38,0.43,-1
2023-07-14,63.86,63.86,62.3,62.46,34391,-1.4,1.56,-2.24,2.5,0.78,-1
2023-07-13,62.55,63.51,62.07,63.42,31799,0.87,1.44,1.37,2.27,0.72,1
2023-07-12,62.88,63.05,62.05,62.53,40803,-0.35,1.0,-0.56,1.6,0.5,-1
2023-07-11,62.0,63.5,62.0,62.79,49071,0.79,1.5,1.26,2.39,0.75,1
2023-07-10,63.08,63.9,61.57,61.94,53554,-1.14,2.33,-1.84,3.76,1.16,-1
2023-07-07,62.0,64.0,61.79,62.92,56923,0.92,2.21,1.46,3.51,1.11,1
2023-07-06,60.06,62.27,59.28,61.95,68590,1.89,3.0,3.05,4.83,1.5,1
2023-07-05,59.16,60.82,58.61,60.66,42889,1.5,2.2,2.47,3.64,1.1,1
2023-07-03,59.0,59.44,58.52,59.14,21140,0.14,0.92,0.24,1.56,0.46,1
2023-06-30,58.91,60.0,57.88,58.99,133873,0.08,2.12,0.14,3.59,1.06,1
2023-06-29,58.4,59.18,57.42,58.49,41838,0.09,1.77,0.15,3.03,0.89,1
2023-06-28,57.23,59.0,57.23,58.39,51899,1.16,1.77,1.99,3.03,0.89,1
2023-06-27,56.69,59.12,56.69,57.44,55535,0.75,2.43,1.31,4.23,1.21,1
2023-06-26,53.93,57.45,53.76,56.94,87339,3.01,3.69,5.29,6.48,1.85,1
2023-06-23,56.48,57.84,52.64,53.95,695046,-2.53,5.2,-4.69,9.64,2.6,-1
2023-06-22,55.84,58.34,55.26,56.23,64343,0.39,3.08,0.69,5.48,1.54,-1
2023-06-21,57.33,58.29,56.35,56.35,75935,-0.98,1.94,-1.74,3.44,0.97,-1
2023-06-20,54.93,57.9,54.47,57.42,82181,2.49,3.43,4.34,5.97,1.72,1
2023-06-16,50.43,54.97,50.12,54.91,106993,4.48,4.84,8.16,8.82,2.42,1
2023-06-15,49.69,50.93,49.69,50.82,43276,1.13,1.24,2.22,2.44,0.62,1
2023-06-14,49.8,50.67,49.3,49.86,75930,0.06,1.37,0.12,2.74,0.68,-1
2023-06-13,50.09,51.0,49.62,50.1,71020,0.01,1.38,0.02,2.75,0.69,-1
2023-06-12,48.62,52.72,48.5,50.67,104795,2.05,4.22,4.05,8.33,2.11,1
2023-06-09,44.84,47.09,44.25,47.07,112221,2.23,2.84,4.74,6.04,1.42,1
2023-06-08,39.51,40.71,39.46,40.55,23033,1.04,1.25,2.56,3.08,0.62,1
2023-06-07,38.8,39.84,38.56,39.27,20503,0.47,1.28,1.2,3.25,0.64,1
2023-06-06,38.99,39.06,38.37,38.86,21685,-0.13,0.7,-0.33,1.79,0.35,1
2023-06-05,39.88,39.88,37.86,38.29,16800,-1.59,2.02,-4.15,5.28,1.01,-1
2023-06-02,38.15,39.96,37.95,39.56,18472,1.41,2.01,3.56,5.08,1.0,1
2023-06-01,37.61,38.56,37.42,37.88,17466,0.27,1.13,0.71,2.98,0.57,-1
2023-05-31,37.14,38.38,36.84,37.97,8121,0.83,1.54,2.19,4.06,0.77,1
2023-05-30,38.26,38.27,37.1,37.54,16130,-0.72,1.17,-1.92,3.12,0.59,-1
2023-05-26,38.52,39.1,38.06,38.26,10813,-0.26,1.04,-0.68,2.72,0.52,-1
2023-05-25,37.95,39.02,37.66,38.37,15195,0.42,1.37,1.09,3.56,0.68,1
2023-05-24,38.82,38.83,37.81,37.94,12893,-0.88,1.02,-2.32,2.69,0.51,-1
2023-05-23,38.2,39.26,38.0,38.87,17900,0.67,1.26,1.72,3.24,0.63,1
2023-05-22,40.87,40.89,38.22,38.26,29610,-2.61,2.67,-6.82,6.98,1.34,-1
2023-05-19,40.77,41.16,39.8,40.88,13305,0.11,1.36,0.27,3.31,0.68,1
2023-05-18,41.09,41.27,39.86,40.34,15405,-0.75,1.41,-1.86,3.5,0.71,-1
