Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-09,29.21,29.34,27.65,28.2,1333662,-1.01,1.69,-3.58,5.99,0.85,-1
2023-08-08,28.92,29.45,28.37,29.35,785918,0.43,1.08,1.47,3.68,0.54,1
2023-08-07,28.56,29.32,28.3,29.29,1079197,0.73,1.02,2.49,3.48,0.51,1
2023-08-04,28.69,29.33,28.5,28.62,637788,-0.07,0.83,-0.24,2.9,0.41,-1
2023-08-03,29.03,29.18,28.66,28.73,668433,-0.3,0.52,-1.04,1.79,0.26,-1
2023-08-02,29.55,29.69,28.94,29.47,754774,-0.08,0.75,-0.27,2.53,0.37,-1
2023-08-01,30.7,30.7,29.75,29.97,658958,-0.73,0.95,-2.44,3.19,0.48,-1
2023-07-31,30.2,30.96,30.17,30.94,814971,0.74,0.79,2.39,2.54,0.39,1
2023-07-28,29.59,30.06,29.28,30.01,617418,0.42,0.78,1.4,2.6,0.39,1
2023-07-27,30.29,30.55,29.34,29.42,738864,-0.87,1.21,-2.96,4.11,0.61,-1
2023-07-26,30.05,30.68,29.56,30.06,743749,0.01,1.12,0.03,3.72,0.56,-1
2023-07-25,30.92,31.05,29.85,30.32,796367,-0.6,1.2,-1.98,3.95,0.6,-1
2023-07-24,31.21,31.64,30.5,31.0,673935,-0.21,1.14,-0.68,3.67,0.57,-1
2023-07-21,33.07,33.7,31.21,31.28,1315098,-1.79,2.49,-5.72,7.96,1.25,-1
2023-07-20,31.73,32.98,31.58,32.87,1743713,1.14,1.4,3.47,4.26,0.7,1
2023-07-19,30.22,32.42,30.22,31.61,2047262,1.39,2.2,4.4,6.96,1.1,1
2023-07-18,29.91,30.86,29.82,30.16,1555840,0.25,1.04,0.83,3.46,0.52,1
2023-07-17,29.69,30.2,28.6,29.83,2251464,0.14,1.6,0.47,5.36,0.8,-1
2023-07-14,31.16,31.48,30.0,30.39,3671802,-0.77,1.48,-2.53,4.87,0.74,-1
2023-07-13,30.63,31.79,27.34,30.74,11580731,0.11,4.45,0.36,14.48,2.22,-1
2023-07-12,44.12,44.32,42.72,42.98,597716,-1.14,1.6,-2.65,3.73,0.8,-1
2023-07-11,42.8,43.77,42.62,43.71,522738,0.91,1.15,2.08,2.63,0.58,1
2023-07-10,41.9,43.03,41.83,42.54,550113,0.64,1.2,1.5,2.82,0.6,1
2023-07-07,41.14,42.66,40.99,42.16,523298,1.02,1.66,2.42,3.95,0.83,1
2023-07-06,41.52,41.79,40.42,40.97,497885,-0.55,1.37,-1.34,3.34,0.68,-1
2023-07-05,41.25,42.34,40.56,42.2,562390,0.95,1.77,2.25,4.21,0.89,1
2023-07-03,41.11,41.73,40.91,41.59,208245,0.48,0.82,1.15,1.97,0.41,1
2023-06-30,42.14,42.38,41.24,41.26,442787,-0.88,1.14,-2.13,2.76,0.57,-1
2023-06-29,40.49,41.74,40.49,41.58,276011,1.09,1.25,2.62,3.01,0.62,1
2023-06-28,39.91,40.41,39.25,40.28,295608,0.37,1.16,0.92,2.88,0.58,-1
2023-06-27,39.44,40.76,39.44,40.54,381211,1.1,1.32,2.71,3.26,0.66,1
2023-06-26,38.91,40.03,38.91,39.51,296745,0.6,1.12,1.52,2.83,0.56,1
2023-06-23,38.94,39.53,38.52,38.74,615774,-0.2,1.01,-0.52,2.61,0.5,-1
2023-06-22,39.89,39.89,38.79,39.38,348359,-0.51,1.1,-1.3,2.79,0.55,-1
2023-06-21,39.37,40.96,38.9,40.16,494323,0.79,2.06,1.97,5.13,1.03,1
2023-06-20,40.06,40.2,39.11,39.54,438903,-0.52,1.09,-1.32,2.74,0.54,-1
2023-06-16,40.82,40.86,39.62,39.97,1374155,-0.85,1.25,-2.13,3.11,0.62,-1
2023-06-15,41.08,41.78,40.38,40.71,677607,-0.37,1.4,-0.91,3.45,0.7,-1
2023-06-14,43.75,44.08,41.14,41.47,564771,-2.28,2.93,-5.5,7.07,1.46,-1
2023-06-13,44.61,45.8,44.21,44.43,555856,-0.18,1.59,-0.41,3.58,0.79,-1
2023-06-12,43.91,44.78,43.34,44.64,437483,0.73,1.43,1.64,3.2,0.71,1
2023-06-09,45.7,45.9,43.22,43.5,382664,-2.2,2.68,-5.06,6.17,1.34,-1
2023-06-08,45.06,46.33,44.68,45.96,365677,0.9,1.66,1.96,3.6,0.83,1
2023-06-07,46.27,47.0,44.66,45.32,463922,-0.95,2.34,-2.1,5.16,1.17,-1
2023-06-06,44.44,45.61,44.4,45.41,427035,0.97,1.2,2.14,2.65,0.6,1
2023-06-05,46.63,46.73,43.84,44.43,550299,-2.2,2.89,-4.95,6.52,1.45,-1
2023-06-02,46.26,47.35,45.96,47.2,474654,0.94,1.39,1.99,2.94,0.7,1
2023-06-01,44.95,46.04,44.46,45.89,472835,0.94,1.58,2.05,3.44,0.79,1
2023-05-31,45.52,45.96,44.06,44.61,767940,-0.91,1.9,-2.04,4.26,0.95,-1
2023-05-30,45.51,46.34,44.98,45.8,409509,0.29,1.36,0.63,2.96,0.68,1
2023-05-26,45.01,46.86,44.94,45.3,473020,0.29,1.92,0.64,4.25,0.96,1
