Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-24,47.5,47.66,45.71,46.05,1189434,-1.45,1.95,-3.15,4.22,0.97,-1
2023-08-23,45.92,47.98,45.71,47.8,1125895,1.88,2.27,3.93,4.76,1.14,1
2023-08-22,46.0,46.77,45.5,46.71,1323832,0.71,1.27,1.52,2.72,0.64,1
2023-08-21,45.45,46.48,45.42,46.32,1085879,0.87,1.06,1.88,2.3,0.53,1
2023-08-18,44.54,45.66,44.4,45.45,1186763,0.91,1.26,2.0,2.76,0.63,1
2023-08-17,47.0,47.19,44.34,44.82,1700390,-2.18,2.84,-4.86,6.35,1.42,-1
2023-08-16,46.23,47.28,45.94,46.72,2331912,0.49,1.34,1.05,2.87,0.67,1
2023-08-15,44.88,46.03,44.07,45.75,1700438,0.87,1.96,1.9,4.28,0.98,1
2023-08-14,44.79,45.11,44.32,44.94,1459770,0.15,0.79,0.33,1.76,0.39,1
2023-08-11,46.53,46.88,44.38,44.9,2372139,-1.63,2.51,-3.63,5.58,1.25,-1
2023-08-10,45.49,48.93,44.89,46.42,7540805,0.93,4.04,2.0,8.71,2.02,1
2023-08-09,40.12,40.29,39.46,39.56,1498864,-0.56,0.83,-1.42,2.1,0.41,-1
2023-08-08,41.17,41.28,39.96,40.12,1257181,-1.05,1.32,-2.62,3.3,0.66,-1
2023-08-07,41.66,42.1,41.4,41.71,1042457,0.05,0.7,0.12,1.68,0.35,1
2023-08-04,41.18,41.83,40.62,41.29,597534,0.11,1.21,0.27,2.94,0.61,1
2023-08-03,40.52,41.39,40.46,40.9,853443,0.38,0.93,0.93,2.27,0.46,1
2023-08-02,41.11,41.12,40.1,40.53,805376,-0.58,1.02,-1.43,2.52,0.51,-1
2023-08-01,42.13,42.3,41.43,41.83,792115,-0.3,0.87,-0.72,2.08,0.43,-1
2023-07-31,42.2,42.85,41.97,42.6,837312,0.4,0.88,0.94,2.07,0.44,1
2023-07-28,41.71,42.4,41.59,42.06,884776,0.35,0.81,0.83,1.93,0.4,1
2023-07-27,42.48,42.93,41.21,41.33,1483032,-1.15,1.72,-2.78,4.16,0.86,-1
2023-07-26,41.53,42.32,41.42,42.3,964561,0.77,0.9,1.82,2.13,0.45,1
2023-07-25,41.63,41.94,41.44,41.5,684310,-0.13,0.5,-0.31,1.2,0.25,1
2023-07-24,41.49,42.04,41.19,41.38,1029075,-0.11,0.85,-0.27,2.05,0.43,1
2023-07-21,41.45,41.74,40.92,41.29,812449,-0.16,0.82,-0.39,1.97,0.41,1
2023-07-20,41.06,41.76,40.61,40.85,1159267,-0.21,1.15,-0.51,2.8,0.57,-1
2023-07-19,39.39,41.06,39.39,40.89,2125913,1.5,1.66,3.67,4.07,0.83,1
2023-07-18,39.52,40.7,38.84,39.08,1568261,-0.44,1.86,-1.13,4.76,0.93,-1
2023-07-17,40.48,40.68,39.78,39.81,2475530,-0.67,0.9,-1.68,2.26,0.45,-1
2023-07-14,42.14,42.61,41.77,42.59,1071003,0.45,0.84,1.06,1.97,0.42,1
2023-07-13,42.47,42.47,41.88,42.2,783993,-0.27,0.59,-0.64,1.41,0.3,-1
2023-07-12,40.51,42.48,40.14,42.28,2006363,1.77,2.34,4.19,5.53,1.17,1
2023-07-11,38.43,40.14,38.43,39.93,1277298,1.5,1.71,3.76,4.28,0.86,1
2023-07-10,38.3,38.71,37.99,38.26,791460,-0.04,0.72,-0.1,1.88,0.36,-1
2023-07-07,38.41,39.0,38.11,38.3,1183374,-0.11,0.89,-0.29,2.32,0.45,-1
2023-07-06,38.03,38.51,37.76,38.5,1816987,0.47,0.75,1.22,1.95,0.38,-1
2023-07-05,38.65,38.85,37.95,38.5,1249248,-0.15,0.9,-0.39,2.34,0.45,-1
2023-07-03,38.87,39.21,38.79,38.85,372652,-0.02,0.42,-0.05,1.08,0.21,1
2023-06-30,38.96,39.19,38.32,38.84,650491,-0.12,0.87,-0.31,2.24,0.43,1
2023-06-29,38.23,39.35,38.04,38.74,1000263,0.51,1.31,1.32,3.38,0.65,1
2023-06-28,38.29,38.4,37.83,38.31,1100232,0.02,0.57,0.05,1.49,0.29,-1
2023-06-27,37.97,38.84,37.47,38.41,1131083,0.44,1.37,1.15,3.57,0.69,1
2023-06-26,36.02,37.64,35.94,37.61,1603693,1.59,1.7,4.23,4.52,0.85,1
2023-06-23,35.83,36.45,35.48,35.9,2671575,0.07,0.97,0.19,2.7,0.49,-1
2023-06-22,35.96,36.56,35.56,36.5,1261890,0.54,1.0,1.48,2.74,0.5,1
2023-06-21,35.39,35.9,35.19,35.86,1285981,0.47,0.71,1.31,1.98,0.36,1
2023-06-20,35.07,35.57,34.7,35.51,1070071,0.44,0.87,1.24,2.45,0.43,1
2023-06-16,36.06,36.07,34.74,35.09,1333963,-0.97,1.33,-2.76,3.79,0.66,-1
2023-06-15,36.42,36.73,35.33,35.89,1261347,-0.53,1.4,-1.48,3.9,0.7,-1
2023-06-14,36.81,37.73,36.52,36.99,1078460,0.18,1.21,0.49,3.27,0.6,1
2023-06-13,36.49,36.93,36.03,36.74,1114439,0.25,0.9,0.68,2.45,0.45,1
2023-06-12,36.31,36.53,35.38,36.2,907337,-0.11,1.15,-0.3,3.18,0.57,1
2023-06-09,37.95,37.95,35.68,35.89,971097,-2.06,2.27,-5.74,6.32,1.14,-1
2023-06-08,38.08,38.39,37.2,37.59,1146337,-0.49,1.19,-1.3,3.17,0.59,-1
2023-06-07,37.71,38.38,37.32,38.05,1106168,0.34,1.06,0.89,2.8,0.53,1
2023-06-06,35.5,37.56,35.38,37.4,945813,1.9,2.18,5.08,5.83,1.09,1
2023-06-05,36.53,36.84,35.48,35.5,1075900,-1.03,1.36,-2.9,3.83,0.68,-1
2023-06-02,36.08,37.02,35.86,36.96,965621,0.88,1.16,2.38,3.14,0.58,1
2023-06-01,36.5,36.65,35.45,35.5,1223431,-1.0,1.2,-2.82,3.37,0.6,-1
2023-05-31,36.59,36.81,35.95,36.57,1556532,-0.02,0.86,-0.05,2.35,0.43,-1
2023-05-30,36.83,36.98,36.4,36.82,876830,-0.01,0.58,-0.03,1.58,0.29,1
2023-05-26,36.49,37.16,35.72,36.51,1234646,0.02,1.44,0.05,3.94,0.72,-1
2023-05-25,37.85,37.97,36.63,36.86,852790,-0.99,1.34,-2.69,3.64,0.67,-1
2023-05-24,38.13,38.3,37.57,37.75,1024342,-0.38,0.73,-1.01,1.93,0.36,-1
2023-05-23,38.5,39.14,38.13,38.14,904658,-0.36,1.01,-0.94,2.65,0.5,-1
2023-05-22,39.12,39.3,38.77,38.85,1056481,-0.27,0.53,-0.69,1.36,0.26,-1
2023-05-19,40.64,40.67,39.25,39.33,1244520,-1.31,1.42,-3.33,3.61,0.71,-1
2023-05-18,40.79,40.87,39.91,40.53,850913,-0.26,0.96,-0.64,2.37,0.48,-1
2023-05-17,40.63,41.47,40.11,40.86,935151,0.23,1.36,0.56,3.33,0.68,1
2023-05-16,41.24,41.64,40.5,40.67,759319,-0.57,1.14,-1.4,2.8,0.57,-1
2023-05-15,40.67,41.82,40.55,41.77,1024066,1.1,1.27,2.63,3.04,0.64,1
2023-05-12,43.15,43.38,40.45,40.84,1672935,-2.31,2.93,-5.66,7.17,1.46,-1
2023-05-11,45.11,45.32,41.74,43.18,2284219,-1.93,3.58,-4.47,8.29,1.79,1
2023-05-10,43.61,43.82,42.44,43.07,1480867,-0.54,1.38,-1.25,3.2,0.69,1
2023-05-09,43.41,43.7,43.0,43.04,947601,-0.37,0.7,-0.86,1.63,0.35,-1
2023-05-08,43.69,44.25,43.42,43.89,812181,0.2,0.83,0.46,1.89,0.41,1
2023-05-05,43.6,43.82,42.8,43.49,699121,-0.11,1.02,-0.25,2.33,0.51,1
2023-05-04,43.13,43.97,42.62,42.84,1433338,-0.29,1.35,-0.68,3.15,0.68,1
2023-05-03,41.98,43.6,41.9,42.71,1739294,0.73,1.7,1.71,3.98,0.85,1
2023-05-02,40.77,42.46,40.58,42.0,2140832,1.23,1.88,2.93,4.48,0.94,1
2023-05-01,39.21,41.22,39.19,40.92,1499185,1.71,2.03,4.18,4.96,1.01,1
2023-04-28,39.09,39.88,38.87,39.45,510783,0.36,1.01,0.91,2.56,0.51,1
2023-04-27,38.56,39.25,37.99,39.1,1079037,0.54,1.26,1.38,3.22,0.63,1
2023-04-26,38.45,39.38,38.03,38.33,1103875,-0.12,1.35,-0.31,3.52,0.68,-1
2023-04-25,38.56,39.25,38.45,38.46,855396,-0.1,0.8,-0.26,2.08,0.4,-1
2023-04-24,39.32,39.7,38.8,38.88,566515,-0.44,0.9,-1.13,2.31,0.45,-1
2023-04-21,38.53,39.29,38.42,39.23,692113,0.7,0.87,1.78,2.22,0.43,1
2023-04-20,38.29,39.24,38.29,38.55,586176,0.26,0.95,0.67,2.46,0.48,-1
2023-04-19,38.27,38.89,38.13,38.76,628245,0.49,0.76,1.26,1.96,0.38,1
2023-04-18,39.58,39.62,38.34,38.56,767915,-1.02,1.28,-2.65,3.32,0.64,-1
2023-04-17,39.54,39.73,39.05,39.09,668232,-0.45,0.68,-1.15,1.74,0.34,-1
2023-04-14,39.64,39.99,39.38,39.58,697841,-0.06,0.61,-0.15,1.54,0.3,1
2023-04-13,39.41,39.93,38.89,39.45,1040191,0.04,1.04,0.1,2.64,0.52,1
2023-04-12,39.68,39.73,38.44,39.16,1163207,-0.52,1.28,-1.33,3.28,0.64,1
2023-04-11,38.05,39.44,38.02,39.04,968361,0.99,1.42,2.54,3.65,0.71,1
2023-04-10,37.18,38.0,36.89,37.86,855948,0.68,1.11,1.8,2.93,0.55,1
2023-04-06,37.65,37.96,37.27,37.38,860923,-0.27,0.69,-0.72,1.85,0.34,-1
2023-04-05,38.7,38.79,37.86,37.93,744237,-0.77,0.92,-2.03,2.44,0.46,-1
2023-04-04,40.29,40.43,38.93,39.25,542876,-1.04,1.5,-2.65,3.82,0.75,-1
2023-04-03,39.78,40.17,39.32,40.08,630772,0.3,0.85,0.75,2.12,0.43,1
2023-03-31,39.3,40.09,39.06,40.0,861069,0.7,1.03,1.75,2.58,0.52,1
2023-03-30,39.35,39.6,38.8,38.99,518443,-0.36,0.8,-0.92,2.05,0.4,1
2023-03-29,39.19,39.5,38.53,38.94,623531,-0.25,0.97,-0.64,2.49,0.48,1
2023-03-28,38.59,38.97,38.36,38.79,526187,0.2,0.61,0.52,1.57,0.3,1
2023-03-27,39.41,39.6,38.44,38.62,865513,-0.79,1.16,-2.05,3.0,0.58,-1
2023-03-24,38.98,39.26,38.5,39.11,761890,0.13,0.77,0.33,1.96,0.38,-1
2023-03-23,39.39,40.06,38.85,39.54,774863,0.15,1.21,0.38,3.06,0.6,1
2023-03-22,39.38,40.31,38.87,38.88,1030031,-0.5,1.44,-1.29,3.7,0.72,-1
2023-03-21,39.09,40.07,38.99,39.41,709231,0.32,1.08,0.81,2.74,0.54,1
2023-03-20,38.45,39.36,38.07,38.49,1004642,0.04,1.29,0.1,3.35,0.64,-1
2023-03-17,38.58,38.73,38.01,38.5,1017538,-0.08,0.72,-0.21,1.87,0.36,-1
2023-03-16,38.29,39.23,37.95,38.57,897069,0.28,1.28,0.73,3.32,0.64,-1
2023-03-15,37.5,38.78,36.93,38.67,1238616,1.17,1.84,3.03,4.77,0.92,1
2023-03-14,39.0,39.18,37.68,38.19,946621,-0.81,1.5,-2.12,3.93,0.75,1
2023-03-13,36.49,38.3,36.28,37.87,1874226,1.38,2.02,3.64,5.32,1.01,1
2023-03-10,37.33,37.88,36.64,37.24,2626478,-0.09,1.23,-0.24,3.32,0.62,-1
2023-03-09,38.8,38.92,37.6,37.67,1234268,-1.13,1.32,-3.0,3.5,0.66,-1
2023-03-08,38.78,38.92,38.09,38.78,772555,0.0,0.82,0.0,2.13,0.41,-1
2023-03-07,38.38,39.43,38.2,38.78,885371,0.4,1.23,1.03,3.17,0.61,1
2023-03-06,39.7,39.7,38.32,38.51,1086242,-1.19,1.38,-3.09,3.58,0.69,-1
2023-03-03,39.31,39.75,39.17,39.47,1233438,0.16,0.58,0.41,1.47,0.29,1
2023-03-02,37.23,38.72,37.0,38.39,1084517,1.16,1.72,3.02,4.48,0.86,1
2023-03-01,39.3,39.3,37.79,37.94,1345900,-1.36,1.51,-3.58,3.98,0.75,-1
2023-02-28,38.89,39.34,38.45,38.98,1820074,0.09,0.88,0.23,2.27,0.44,1
2023-02-27,38.81,39.36,38.42,38.91,1238040,0.1,0.95,0.26,2.43,0.47,1
2023-02-24,38.25,38.6,37.54,38.33,1786342,0.08,1.06,0.21,2.76,0.53,-1
2023-02-23,35.0,39.93,34.8,39.31,5917217,4.31,5.13,10.96,13.05,2.57,-1
2023-02-22,39.98,40.19,39.0,39.74,1883633,-0.24,1.19,-0.6,2.99,0.59,1
2023-02-21,40.83,41.32,38.86,39.54,1971144,-1.29,2.46,-3.26,6.22,1.23,-1
2023-02-17,40.59,41.86,40.37,41.67,1642593,1.08,1.49,2.59,3.58,0.75,1
2023-02-16,43.15,43.49,40.91,40.95,1423970,-2.2,2.58,-5.37,6.3,1.29,-1
2023-02-15,42.63,44.22,42.39,44.12,708805,1.49,1.83,3.38,4.14,0.91,1
2023-02-14,42.11,43.42,41.72,43.14,829421,1.03,1.7,2.39,3.93,0.85,1
2023-02-13,41.11,42.85,40.7,42.6,1197580,1.49,2.15,3.5,5.05,1.07,1
2023-02-10,40.74,41.02,39.61,40.78,1440688,0.04,1.41,0.1,3.45,0.7,-1
2023-02-09,44.04,44.28,41.33,41.35,1317408,-2.69,2.94,-6.51,7.12,1.47,-1
2023-02-08,44.22,44.57,43.18,43.52,1592714,-0.7,1.39,-1.61,3.19,0.7,-1
2023-02-07,43.64,44.73,42.55,44.63,2428128,0.99,2.18,2.22,4.88,1.09,-1
2023-02-06,46.7,47.27,46.1,46.25,878740,-0.45,1.17,-0.97,2.53,0.58,-1
2023-02-03,46.78,48.53,46.21,47.6,1094710,0.82,2.32,1.72,4.87,1.16,-1
2023-02-02,47.0,49.02,46.91,48.25,950491,1.25,2.11,2.59,4.36,1.05,1
2023-02-01,44.78,46.69,44.31,46.26,1222523,1.48,2.38,3.2,5.14,1.19,1
2023-01-31,43.88,44.78,43.88,44.76,736197,0.88,0.9,1.97,2.01,0.45,1
2023-01-30,43.96,45.25,43.73,43.73,871703,-0.23,1.52,-0.53,3.48,0.76,-1
2023-01-27,43.87,45.02,43.61,44.64,1133759,0.77,1.41,1.72,3.17,0.71,1
2023-01-26,43.91,44.23,43.04,44.1,1246023,0.19,1.19,0.43,2.7,0.59,1
2023-01-25,42.1,43.07,41.58,42.94,1041085,0.84,1.49,1.96,3.47,0.75,1
2023-01-24,42.75,43.94,42.17,42.82,774924,0.07,1.77,0.16,4.13,0.88,-1
2023-01-23,43.19,44.32,42.56,44.01,1107461,0.82,1.76,1.86,3.99,0.88,1
2023-01-20,42.19,43.2,41.97,42.93,1195958,0.74,1.23,1.72,2.85,0.61,1
2023-01-19,41.13,42.2,40.92,41.96,1484723,0.83,1.28,1.98,3.05,0.64,1
2023-01-18,43.56,44.22,40.44,41.83,4044618,-1.73,3.79,-4.14,9.06,1.89,-1
2023-01-17,44.49,45.5,44.35,45.21,1231703,0.72,1.16,1.59,2.55,0.58,1
2023-01-13,43.65,45.63,43.65,44.98,1278651,1.33,1.98,2.96,4.4,0.99,1
2023-01-12,44.4,44.94,43.26,44.59,1087718,0.19,1.68,0.43,3.77,0.84,1
2023-01-11,42.76,44.4,42.37,43.99,1006936,1.23,2.03,2.8,4.61,1.02,1
2023-01-10,42.72,43.09,41.59,42.36,803100,-0.36,1.5,-0.85,3.54,0.75,-1
2023-01-09,42.4,43.09,41.63,42.73,910580,0.33,1.46,0.77,3.42,0.73,1
2023-01-06,42.06,42.73,40.58,41.88,1090996,-0.18,2.15,-0.43,5.13,1.07,1
2023-01-05,41.52,41.8,41.0,41.69,886000,0.17,0.8,0.41,1.92,0.4,-1
2023-01-04,41.04,42.56,40.76,42.18,1136632,1.14,1.8,2.7,4.27,0.9,1
2023-01-03,42.23,42.62,39.79,40.27,812912,-1.96,2.84,-4.87,7.04,1.42,-1
2022-12-30,40.55,41.42,40.2,41.31,539176,0.76,1.22,1.84,2.94,0.61,-1
2022-12-29,40.48,41.7,40.01,41.38,885657,0.9,1.7,2.17,4.1,0.85,1
2022-12-28,40.83,40.92,39.49,39.81,776299,-1.02,1.43,-2.56,3.58,0.71,-1
2022-12-27,41.34,41.34,40.43,40.7,571344,-0.64,0.91,-1.57,2.24,0.46,-1
2022-12-23,40.94,41.54,40.37,41.54,505295,0.6,1.17,1.44,2.82,0.59,1
2022-12-22,40.95,41.06,40.11,40.93,749094,-0.02,0.95,-0.05,2.32,0.48,-1
2022-12-21,41.47,42.02,41.02,41.65,974703,0.18,1.0,0.43,2.41,0.5,1
2022-12-20,40.05,40.97,39.73,40.76,1087094,0.71,1.24,1.74,3.04,0.62,1
2022-12-19,41.92,41.92,40.59,40.74,994388,-1.18,1.33,-2.9,3.26,0.66,-1
2022-12-16,42.62,43.35,41.8,41.95,2123453,-0.67,1.55,-1.6,3.7,0.78,-1
2022-12-15,44.52,44.82,43.05,43.11,1050221,-1.41,1.77,-3.27,4.1,0.88,-1
2022-12-14,45.79,46.63,45.23,45.72,926428,-0.07,1.4,-0.15,3.06,0.7,-1
